,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
83,559.35828,689.6149800000001,524,559.35828,3448.0749000000005,4007.4331800000004,1118.71656,2758.4599200000002,3877.17648,1678.0748400000002,2068.84494,3746.91978,2237.43312,1379.2299600000001,3616.6630800000003,2796.7914,689.6149800000001,3486.4063800000004,3317.8182,3187.5615,3057.3048000000003,2927.0481
60,598.76394,1013.61508,531,598.76394,5068.0754,5666.8393399999995,1197.52788,4054.46032,5251.9882,1796.2918200000001,3040.84524,4837.13706,2395.05576,2027.23016,4422.28592,2993.8197,1013.61508,4007.43478,4653.22426,4238.37312,3823.5219800000004,3408.67084
10,408.2415299999999,797.737655,609,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
22,315.70117999999997,844.008005,651,315.70117999999997,4220.040025,4535.741205,631.4023599999999,3376.03202,4007.43438,947.1035399999998,2532.024015,3479.127555,1262.8047199999999,1688.01601,2950.82073,1578.5058999999999,844.008005,2422.513905,3691.7332,3163.426375,2635.11955,2106.812725
9,649.79576,758.45468,732,649.79576,3792.2734,4442.06916,1299.59152,3033.81872,4333.41024,1949.38728,2275.3640400000004,4224.75132,2599.18304,1516.90936,4116.0923999999995,3248.9788,758.45468,4007.4334799999997,3683.61448,3574.9555600000003,3466.29664,3357.6377199999997
66,408.2415299999999,797.737655,740,408.2415299999999,3988.688275,4396.929805,816.4830599999998,3190.95062,4007.43368,1224.7245899999998,2393.212965,3617.937555,1632.9661199999996,1595.47531,3228.44143,2041.2076499999994,797.737655,2838.9453049999993,3599.19215,3209.696025,2820.1998999999996,2430.7037749999995
24,229.65858,887.0295550000001,758,229.65858,4435.147775,4664.806355000001,459.31716,3548.1182200000003,4007.4353800000004,688.97574,2661.088665,3350.064405,918.63432,1774.0591100000001,2692.6934300000003,1148.2929,887.0295550000001,2035.322455,3777.7768,3120.4058250000003,2463.03485,1805.6638750000002
81,598.76394,1013.61508,792,598.76394,5068.0754,5666.8393399999995,1197.52788,4054.46032,5251.9882,1796.2918200000001,3040.84524,4837.13706,2395.05576,2027.23016,4422.28592,2993.8197,1013.61508,4007.43478,4653.22426,4238.37312,3823.5219800000004,3408.67084
23,280.18253,861.767405,889,280.18253,4308.837025000001,4589.019555000001,560.36506,3447.06962,4007.4346800000003,840.5475899999999,2585.302215,3425.849805,1120.73012,1723.53481,2844.2649300000003,1400.91265,861.767405,2262.680055,3727.2521500000003,3145.6672750000002,2564.0824000000002,1982.497525
62,630.39558,675.40742,972,630.39558,3377.0371,4007.43268,1260.79116,2701.62968,3962.4208399999998,1891.18674,2026.22226,3917.409,2521.58232,1350.81484,3872.39716,3151.9779,675.40742,3827.38532,3332.02526,3287.01342,3242.00158,3196.98974
