,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
267,746.417687,1137.515261,1210,3767.8658960000002,2,2,y12,b21,0.0,Parent,0.0069939999998496205,0.01359199999978955,0.02176599999938844,1491.8205400000002,2274.00909
269,235.10267,1177.590897,1221,3767.8753610000003,1,3,y2,b31,0.0,Parent,0.010240000000010241,0.01981099999966318,0.031230999999479536,235.09242999999998,3530.7372000000005
271,672.883173,1211.04955,1246,3767.865446,2,2,y11,b22,0.0,Parent,0.0063760000000456785,0.013759999999820138,0.021315999998932966,1344.75213,2421.0775
274,807.701371,1344.760428,1524,3767.864541,3,1,b22,y11,0.0,Parent,0.01093300000002273,0.008297999999967942,0.02041099999905782,2421.0775,1344.75213
275,817.347653,1066.58517,1533,3767.865646,2,2,b15,y18,0.0,Parent,0.007636000000275089,0.012699999999767897,0.02151599999933751,1633.6798299999998,2132.1498
289,559.319043,1324.614753,2817,3767.867592,2,2,y9,b24,0.0,Parent,0.005105999999841515,0.017175999999835767,0.02346199999919918,1117.62514,2648.20449
300,353.194059,1530.739321,3246,3767.86676,2,2,y6,b27,0.0,Parent,0.002567999999882886,0.018881999999393884,0.02262999999902604,705.3777100000001,3060.4519200000004
304,466.278915,1417.655177,4099,3767.868184,2,2,y8,b25,0.0,Parent,0.004159999999842512,0.018713999999818043,0.024053999999068765,931.5458300000001,2834.2838
305,938.476008,945.437938,4360,3767.8278920000002,2,2,,,0.0,Parent,,,0.016238000000612374,,
319,941.71277,942.717789,7732,3767.8560989999996,3,1,,,0.0,Parent,,,0.011968999998771324,,
322,933.460314,967.43323,8374,3767.8141720000003,3,1,,,0.0,Parent,,,0.029958000000533502,,
324,931.469171,945.437938,8880,3767.782985,1,3,y8,b25,0.0,Parent,0.076659000000177,0.014333999999962543,0.06114500000103362,931.5458300000001,2834.2838
327,759.012528,1002.95252,9537,3767.8700880000006,1,3,,,0.0,Parent,,,0.025957999999718595,,
357,890.21043,1097.1974,20553,3767.82869,3,1,,,0.0,Parent,,,0.015440000001035514,,
381,852.171187,1211.273881,28468,3767.7874420000003,3,1,,,0.0,Parent,,,0.05668800000057672,,
385,873.189636,1148.253578,28916,3767.822486,3,1,,,0.0,Parent,,,0.02164400000083333,,
392,807.701371,1344.730161,31510,3767.834274,3,1,b22,y11,0.0,Parent,0.01093300000002273,0.02196900000012647,0.009856000001036591,2421.0775,1344.75213
403,938.464043,945.437938,35484,3767.803962,2,2,,,0.0,Parent,,,0.0401680000009037,,
410,845.396306,974.135295,37892,3767.802191,1,3,,,0.0,Parent,,,0.04193900000063877,,
415,940.431881,942.467165,38804,3767.833376,1,3,,,0.0,Parent,,,0.010754000000815722,,
418,720.33549,1163.606102,39420,3767.8831840000003,2,2,,,0.0,Parent,,,0.03905399999939618,,
420,343.235955,1141.566472,40158,3767.935371,1,3,,,0.0,Parent,,,0.09124099999917235,,
422,908.706527,953.020518,41012,3767.768081,1,3,,,0.0,Parent,,,0.07604900000069392,,
424,904.203625,954.524727,41122,3767.777806,1,3,,,0.0,Parent,,,0.06632400000080452,,
430,939.766865,942.717789,45004,3767.920232,1,3,,,0.0,Parent,,,0.07610199999908218,,
435,941.171129,942.717789,47624,3767.777836,2,2,,,0.0,Parent,,,0.06629400000065289,,
439,938.96428,942.968225,48356,3767.868955,1,3,,,0.0,Parent,,,0.024824999999054853,,
440,901.454846,1063.513942,48375,3767.87848,3,1,,,0.0,Parent,,,0.03434999999899446,,
445,905.454576,978.463055,51539,3767.835262,2,2,,,0.0,Parent,,,0.008868000000802567,,
451,559.31191,1324.614753,53626,3767.8533260000004,2,2,y9,b24,0.0,Parent,0.009160000000065338,0.017175999999835767,0.0091959999995197,1117.62514,2648.20449
457,909.458425,974.468791,55219,3767.854432,2,2,,,0.0,Parent,,,0.010301999999228428,,
464,938.96428,942.979349,58159,3767.902327,1,3,,,0.0,Parent,,,0.05819699999892691,,
471,908.722421,953.020518,62392,3767.783975,1,3,,,0.0,Parent,,,0.06015500000103202,,
477,938.214337,943.218563,66153,3767.870026,1,3,,,0.0,Parent,,,0.02589599999919301,,
489,869.434187,1159.578822,70309,3767.881383,3,1,,,0.0,Parent,,,0.03725299999905474,,
490,941.171129,942.216528,70773,3767.820713,1,3,,,0.0,Parent,,,0.023417000000790722,,
492,355.235876,1137.515261,71003,3767.781659,1,3,,,0.0,Parent,,,0.06247100000064165,,
493,941.71277,942.216528,71936,3767.858596,2,2,,,0.0,Parent,,,0.014465999999174528,,
499,901.205882,1064.182766,76095,3767.8004119999996,3,1,,,0.0,Parent,,,0.043718000001263135,,
508,928.206865,983.1326,78303,3767.753195,3,1,,,0.0,Parent,,,0.09093500000108179,,
509,720.33549,1163.590243,78574,3767.851466,2,2,,,0.0,Parent,,,0.007335999999213527,,
514,937.463434,946.440642,80461,3767.808152,2,2,,,0.0,Parent,,,0.03597800000079587,,
515,905.70503,954.02316,80768,3767.77451,1,3,,,0.0,Parent,,,0.06962000000066837,,
527,937.108958,946.774273,87946,3767.766462,2,2,,,0.0,Parent,,,0.07766800000081275,,
530,471.295231,1098.868361,89029,3767.9003140000004,1,3,,,0.0,Parent,,,0.05618399999957546,,
531,941.101612,942.844815,89204,3767.892854,2,2,,,0.0,Parent,,,0.04872399999931076,,
447,817.347653,983.46699,53079,3767.7486230000004,1,3,b8,b26+1,0.0,b+1,0.03657300000008945,0.01407999999992171,0.09550700000045254,817.31108,2948.3712100000002
325,703.291495,1021.496318,8974,3767.780449,1,3,b7+1,b27+2,0.0,"b+1, b+2",0.0040050000001201624,0.014653999999609368,0.0636810000009973,703.2874899999999,3062.4586200000003
501,474.183898,1097.865943,76308,3767.7817270000005,1,3,,b29+2,0.0,b+2,,0.017268999999942025,0.06240300000035859,,3291.5648800000004
86,705.381744,1020.82773,86,3767.864934,1,3,b7+3,b27,0.0,b+3,0.0875540000000683,0.015589999999519932,0.020803999999316147,705.29419,3060.4519200000004
301,353.194059,1530.739321,3246,3767.86676,2,2,b7+3,b27,0.0,b+3,0.08608800000001793,0.018881999999393884,0.02262999999902604,705.29419,3060.4519200000004
434,884.413182,1114.623647,47371,3767.8631929999997,3,1,b24+3,,0.0,b+3,0.009325999999873602,,0.019062999998823216,2651.21454,
338,927.470198,946.774273,11976,3767.793017,1,3,,b25+4,0.0,b+4,,0.009939000000031228,0.051113000000896136,,2838.2972
377,927.4592,946.774273,27596,3767.782019,1,3,,b25+4,0.0,b+4,,0.009939000000031228,0.06211100000064107,,2838.2972
355,236.097145,1177.25042,19921,3767.848405,1,3,y2+1,,0.0,y+1,0.0013650000000211548,,0.004274999999324791,236.09578,
328,933.460314,944.781016,9540,3767.803362,1,3,y8+2,,0.0,y+2,0.09221600000012131,,0.04076800000075309,933.5525300000002,
353,237.099985,1176.915079,19770,3767.845222,1,3,y2+2,,0.0,y+2,0.0008550000000298041,,0.0010919999990619544,237.09912999999997,
423,933.557117,944.781016,41081,3767.900165,1,3,y8+2,,0.0,y+2,0.004586999999787622,,0.05603499999915584,933.5525300000002,
391,934.461121,944.447173,31481,3767.80264,1,3,y8+3,,0.0,y+3,0.09475900000006732,,0.04149000000097658,934.5558800000001,
253,938.464043,953.522196,775,3768.9143249999997,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.06684499999892068,,
341,890.21043,1098.214445,13678,3768.845735,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.00174500000093758,,
351,895.44869,1082.527016,19341,3768.873086,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.025605999999243068,,
352,879.441334,1130.560797,19690,3768.884799,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.037318999999115476,,
362,890.458114,1097.531602,22548,3768.905944,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.058463999999275984,,
372,926.719357,947.362187,27284,3768.805918,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.041562000000794797,,
383,933.960189,966.932342,28844,3768.812909,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.03457100000059654,,
397,845.396306,974.468791,33863,3768.802679,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.04480100000091625,,
413,687.371323,1027.171345,38202,3768.885358,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.037877999999182066,,
442,876.946427,1138.016207,49120,3768.855488,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.00800799999933588,,
459,926.707941,947.362187,55343,3768.794502,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.05297800000062125,,
461,895.198101,1083.193066,55948,3768.7873689999997,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.06011100000114311,,
465,720.33549,1016.157725,58681,3768.808665,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.03881500000079541,,
474,688.355339,1026.837677,64501,3768.86837,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.020889999999326392,,
475,872.950238,1011.490846,65222,3768.882168,2,2,,,0.999999999999955,Parent+0 (Unannotated),,,0.03468799999927796,,
476,900.449577,1067.58808,66113,3768.936811,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.08933099999921978,,
506,905.20406,954.524727,78064,3768.778241,1,3,,,0.999999999999955,Parent+0 (Unannotated),,,0.0692390000008345,,
519,941.965823,942.467165,84281,3768.865976,2,2,,,0.999999999999955,Parent+0 (Unannotated),,,0.01849599999923157,,
532,890.458114,1097.547017,89350,3768.921359,3,1,,,0.999999999999955,Parent+0 (Unannotated),,,0.07387899999912406,,
2,476.274275,1097.531602,3,3768.869081,1,3,y4,b29+1,0.999999999999955,b+1,0.002824999999972988,0.017595999999684864,0.02160099999900922,476.27145,3290.5615300000004
5,705.381744,1021.162037,5,3768.8678550000004,1,3,y6,b27+1,0.999999999999955,b+1,0.004033999999933258,0.015160999999807245,0.02037499999960346,705.3777100000001,3061.4552700000004
7,818.466536,983.46699,6,3768.867506,1,3,y7,b26+1,0.999999999999955,b+1,0.004765999999904125,0.01407999999992171,0.020025999999234045,818.4617700000001,2948.3712100000002
10,348.178404,1140.230185,9,3768.8689589999994,1,3,y3,b30+1,0.999999999999955,b+1,0.0019139999999993051,0.018384999999398133,0.021478999998635118,348.17649,3418.6564900000003
23,409.736522,1474.699264,22,3768.871572,2,2,y7,b26+1,0.999999999999955,b+1,0.0034339999998564963,0.019477999999708118,0.024091999999200198,818.4617700000001,2948.3712100000002
24,577.322546,1063.848577,24,3768.868277,1,3,y5,b28+1,0.999999999999955,b+1,0.003415999999901942,0.016200999999909982,0.020796999999220134,577.3191300000001,3189.5138500000003
25,616.340608,1268.093972,25,3768.8691599999997,2,2,y10,b23+1,0.999999999999955,b+1,0.005305999999791311,0.015193999999610242,0.02167999999892345,1231.6680700000002,2535.16491
27,931.551515,945.772274,27,3768.8683370000003,1,3,y8,b25+1,0.999999999999955,b+1,0.0056849999998576095,0.01399200000014389,0.020856999999523396,931.5458300000001,2835.28715
32,235.093728,1177.924993,32,3768.868707,1,3,y2,b31+1,0.999999999999955,b+1,0.0012980000000197833,0.018748999999843363,0.021226999999271357,235.09242999999998,3531.7405500000004
48,845.730494,1231.675462,45,3768.8669440000003,3,1,b23+1,y10,0.999999999999955,b+1,0.010892000000239932,0.007391999999754262,0.01946399999951609,2535.16491,1231.6680700000002
64,559.319043,1325.115834,63,3768.869754,2,2,y9,b24+1,0.999999999999955,b+1,0.005105999999841515,0.015987999999651947,0.02227399999901536,1117.62514,2649.20784
74,760.33525,1124.0988,74,3768.8680999999997,2,2,b14+1,y19,0.999999999999955,b+1,0.006420000000161963,0.013019999999414722,0.020619999998871208,1519.6562399999998,2247.1767400000003
78,917.501688,966.932342,79,3768.86806,2,2,y15,b18+1,0.999999999999955,b+1,0.009835999999722844,0.009564000000182205,0.020579999998972198,1833.9857000000002,1932.8472799999997
95,881.982424,1002.451001,97,3768.8668500000003,2,2,y14,b19+1,0.999999999999955,b+1,0.008417999999892345,0.009772000000339176,0.019369999999526044,1762.9485900000002,2003.8843899999997
97,931.413618,953.020518,99,3768.868272,2,2,b17+1,y16,0.999999999999955,b+1,0.009226000000353451,0.010385999999925843,0.020791999999346444,1861.8101699999997,1905.0228100000002
104,466.278915,1418.156315,108,3768.87046,2,2,y8,b25+1,0.999999999999955,b+1,0.004159999999842512,0.017639999999573774,0.022979999999279244,931.5458300000001,2835.28715
106,647.250748,1237.183441,110,3768.868378,2,2,b12+1,y21,0.999999999999955,b+1,0.0055360000001201115,0.014181999998982064,0.020897999999306194,1293.48812,2473.3448600000006
108,703.793067,1180.641459,112,3768.869052,2,2,b13+1,y20,0.999999999999955,b+1,0.006114000000025044,0.014277999999194435,0.021571999999196123,1406.57218,2360.2608000000005
117,883.745171,1117.631792,128,3768.8673049999998,3,1,b24+1,y9,0.999999999999955,b+1,0.011993000000074971,0.006651999999803593,0.019824999998945714,2649.20784,1117.62514
133,596.726614,1287.707999,153,3768.869226,2,2,b11+1,y22,0.999999999999955,b+1,0.004948000000013053,0.015617999998994492,0.02174599999898419,1192.44044,2574.3925400000007
139,672.883173,1211.550859,164,3768.8680640000002,2,2,y11,b22+1,0.999999999999955,b+1,0.0063760000000456785,0.013027999999849271,0.020583999999416847,1344.75213,2422.08085
157,235.10267,1177.924993,191,3768.877649,1,3,y2,b31+1,0.999999999999955,b+1,0.010240000000010241,0.018748999999843363,0.03016899999920497,235.09242999999998,3531.7405500000004
159,808.035566,1344.760428,194,3768.867126,3,1,b22+1,y11,0.999999999999955,b+1,0.010168000000248867,0.008297999999967942,0.01964599999928396,2422.08085,1344.75213
183,803.931349,1080.502759,228,3768.868216,2,2,y13,b20+1,0.999999999999955,b+1,0.007377999999789608,0.012177999999948952,0.020735999999033083,1606.8474800000001,2159.9855
187,746.417687,1138.016207,236,3768.8677879999996,2,2,y12,b21+1,0.999999999999955,b+1,0.0069939999998496205,0.012133999999605294,0.020307999998749438,1491.8205400000002,2275.01244
205,539.704971,1344.730161,295,3768.870264,2,2,b10+1,y23,0.999999999999955,b+1,0.004592000000002372,0.017011999998885585,0.02278399999931935,1078.39751,2688.435470000001
208,817.84918,1066.58517,298,3768.8687,2,2,b15+1,y18,0.999999999999955,b+1,0.0073400000003402965,0.012699999999767897,0.021219999999175343,1634.6831799999998,2132.1498
251,348.178404,1140.250036,705,3768.9285119999995,1,3,y3,b30+1,0.999999999999955,b+1,0.0019139999999993051,0.07793799999944895,0.08103199999868593,348.17649,3418.6564900000003
261,353.194059,1531.241373,1070,3768.870864,2,2,y6,b27+1,0.999999999999955,b+1,0.002567999999882886,0.01963599999953658,0.023383999999168736,705.3777100000001,3061.4552700000004
315,808.035566,1344.730161,6859,3768.836859,3,1,b22+1,y11,0.999999999999955,b+1,0.010168000000248867,0.02196900000012647,0.010621000000810454,2422.08085,1344.75213
332,705.381744,1021.175031,11332,3768.9068370000005,1,3,y6,b27+1,0.999999999999955,b+1,0.004033999999933258,0.05414299999983996,0.05935699999963617,705.3777100000001,3061.4552700000004
340,235.10267,1177.892494,13543,3768.7801520000003,1,3,y2,b31+1,0.999999999999955,b+1,0.010240000000010241,0.07874800000035975,0.0673280000005434,235.09242999999998,3531.7405500000004
368,703.291495,1021.83035,24685,3768.7825449999996,1,3,b7+1,y26,0.999999999999955,b+1,0.0040050000001201624,0.07012000000122498,0.06493500000124186,703.2874899999999,3063.545490000001
387,539.704971,1344.760428,29670,3768.9307980000003,2,2,b10+1,y23,0.999999999999955,b+1,0.004592000000002372,0.07754599999907441,0.08331799999950817,1078.39751,2688.435470000001
421,476.274275,1097.547017,40726,3768.9153260000003,1,3,y4,b29+1,0.999999999999955,b+1,0.002824999999972988,0.06384100000013859,0.06784599999946295,476.27145,3290.5615300000004
433,235.093728,1177.892494,46682,3768.77121,1,3,y2,b31+1,0.999999999999955,b+1,0.0012980000000197833,0.07874800000035975,0.07627000000093176,235.09242999999998,3531.7405500000004
6,705.381744,1021.162037,5,3768.8678550000004,1,3,b7+3,b27+1,0.999999999999955,"b+1, b+3",0.0875540000000683,0.015160999999807245,0.02037499999960346,705.29419,3061.4552700000004
262,353.194059,1531.241373,1070,3768.870864,2,2,b7+3,b27+1,0.999999999999955,"b+1, b+3",0.08608800000001793,0.01963599999953658,0.023383999999168736,705.29419,3061.4552700000004
333,705.381744,1021.175031,11332,3768.9068370000005,1,3,b7+3,b27+1,0.999999999999955,"b+1, b+3",0.0875540000000683,0.05414299999983996,0.05935699999963617,705.29419,3061.4552700000004
369,703.291495,1021.83035,24685,3768.7825449999996,1,3,b7+1,b27+3,0.999999999999955,"b+1, b+3",0.0040050000001201624,0.013399999999364809,0.06493500000124186,703.2874899999999,3063.4619700000003
449,817.347653,983.81552,53198,3768.794213,1,3,b8,b26+2,0.999999999999955,b+2,0.03657300000008945,0.05631999999968684,0.0532670000006874,817.31108,2949.37456
502,930.457519,946.106347,76421,3768.7765600000002,1,3,,b25+2,0.999999999999955,b+2,,0.012861000000157219,0.07092000000056942,,2836.2905
505,474.183898,1098.214445,77103,3768.827233,1,3,,b29+3,0.999999999999955,b+3,,0.05942499999991924,0.020247000000836124,,3292.5682300000003
526,474.183898,1098.199865,86391,3768.783493,1,3,,b29+3,0.999999999999955,b+3,,0.015684999999848515,0.06398700000090685,,3292.5682300000003
71,706.384701,1020.82773,70,3768.867891,1,3,b7+4,b27,0.999999999999955,b+4,0.08716099999992366,0.015589999999519932,0.02041099999905782,706.29754,3060.4519200000004
12,646.749278,1237.685092,11,3768.86874,2,2,b12,y21+1,0.999999999999955,y+1,0.005945999999994456,0.014133999999103253,0.021259999999074353,1292.48477,2474.3482100000006
20,819.469685,983.1326,18,3768.867485,1,3,y7+1,b26,0.999999999999955,y+1,0.004564999999956854,0.014259999999922002,0.020004999999400752,819.4651200000001,2947.3678600000003
22,759.833904,1124.600103,20,3768.8680139999997,2,2,b14,y19+1,0.999999999999955,y+1,0.007078000000092288,0.012275999999474152,0.020533999998860963,1518.6528899999998,2248.1800900000003
37,616.842268,1267.59262,38,3768.8697759999995,2,2,y10+1,b23,0.999999999999955,y+1,0.005275999999867054,0.015839999999570864,0.02229599999873244,1232.6714200000001,2534.16156
55,930.911752,953.522196,53,3768.8678959999997,2,2,b17,y16+1,0.999999999999955,y+1,0.00884400000018104,0.010391999999910695,0.02041599999893151,1860.8068199999998,1906.0261600000001
60,703.291495,1181.14284,58,3768.86867,2,2,b13,y20+1,0.999999999999955,y+1,0.006320000000187065,0.01368999999931475,0.021189999999023712,1405.56883,2361.2641500000004
62,918.003403,966.430778,61,3768.868362,2,2,y15+1,b18,0.999999999999955,y+1,0.009915999999975611,0.00978600000030383,0.02088199999934659,1834.9890500000001,1931.8439299999998
70,706.384701,1020.82773,70,3768.867891,1,3,y6+1,b27,0.999999999999955,y+1,0.0036409999999023057,0.015589999999519932,0.02041099999905782,706.38106,3060.4519200000004
72,477.277555,1097.1974,71,3768.869755,1,3,y4+1,b29,0.999999999999955,y+1,0.0027549999999791908,0.018339999999625434,0.022274999999353895,477.2748,3289.5581800000004
79,596.225094,1288.208948,80,3768.8680839999997,2,2,b11,y22+1,0.999999999999955,y+1,0.005257999999912499,0.01416599999902246,0.020603999998911604,1191.4370900000001,2575.3958900000007
81,882.484263,1001.949824,82,3768.868174,2,2,y14+1,b19,0.999999999999955,y+1,0.00874599999997372,0.010768000000325628,0.020693999999366497,1763.9519400000001,2002.8810399999998
90,845.396306,1232.679204,91,3768.868122,3,1,b23,y10+1,0.999999999999955,y+1,0.011677999999847088,0.007783999999901425,0.020641999999043037,2534.16156,1232.6714200000001
92,539.203433,1345.231995,93,3768.8708560000005,2,2,b10,y23+1,0.999999999999955,y+1,0.0048659999999927095,0.01732999999921958,0.023375999999643682,1077.39416,2689.4388200000008
115,932.554952,945.437938,126,3768.868766,1,3,y8+1,b25,0.999999999999955,y+1,0.005771999999865329,0.014333999999962543,0.021285999999236083,932.5491800000001,2834.2838
121,817.347653,1067.085992,135,3768.86729,2,2,b15,y18+1,0.999999999999955,y+1,0.007636000000275089,0.010993999999755033,0.019809999999324646,1633.6798299999998,2133.15315
143,673.3845,1211.04955,172,3768.8680999999997,2,2,y11+1,b22,0.999999999999955,y+1,0.00567999999998392,0.013759999999820138,0.020619999998871208,1345.75548,2421.0775
154,466.780285,1417.655177,188,3768.8709240000003,2,2,y8+1,b25,0.999999999999955,y+1,0.003549999999904685,0.018713999999818043,0.023443999999472,932.5491800000001,2834.2838
173,473.682928,1410.751853,216,3768.869562,2,2,b9,y24+1,0.999999999999955,y+1,0.004346000000055028,0.01655599999912738,0.022081999999045365,946.35367,2820.4793100000006
190,209.104503,1186.587663,244,3768.867492,1,3,b2,y31+1,0.999999999999955,y+1,0.0012329999999849406,0.01759899999933623,0.02001199999904202,209.10327,3557.7297100000005
214,578.325551,1063.513942,332,3768.867377,1,3,y5+1,b28,0.999999999999955,y+1,0.0030709999999771753,0.015645999999833293,0.01989699999921868,578.32248,3188.5105000000003
220,897.155745,1077.400566,361,3768.8678010000003,3,1,y23+1,b10,0.999999999999955,y+1,0.01273499999933847,0.006405999999969936,0.020320999999512424,2689.4388200000008,1077.39416
227,236.097145,1177.590897,408,3768.8698360000003,1,3,y2+1,b31,0.999999999999955,y+1,0.0013650000000211548,0.01981099999966318,0.02235599999949045,236.09578,3530.7372000000005
239,559.820352,1324.614753,514,3768.87021,2,2,y9+1,b24,0.999999999999955,y+1,0.004373999999870648,0.017175999999835767,0.022729999999228312,1118.62849,2648.20449
240,410.238225,1474.196622,519,3768.869694,2,2,y7+1,b26,0.999999999999955,y+1,0.0034899999999424836,0.017543999999361404,0.022213999999166845,819.4651200000001,2947.3678600000003
244,807.701371,1345.763158,571,3768.867271,3,1,b22,y11+1,0.999999999999955,y+1,0.01093300000002273,0.007677999999941676,0.01979099999925893,2421.0775,1345.75548
246,804.432863,1080.00184,617,3768.869406,2,2,y13+1,b20,0.999999999999955,y+1,0.007055999999920459,0.013689999999769498,0.02192599999898448,1607.85083,2158.98215
259,349.181847,1139.896002,991,3768.8698529999997,1,3,y3+1,b30,0.999999999999955,y+1,0.0020069999999918764,0.019185999999535852,0.022372999998879095,349.17984,3417.6531400000003
282,883.41091,1118.6357,2184,3768.8684299999995,3,1,b24,y9+1,0.999999999999955,y+1,0.012559999999666616,0.007209999999986394,0.02094999999872016,2648.20449,1118.62849
309,807.701371,1345.732827,4777,3768.83694,3,1,b22,y11+1,0.999999999999955,y+1,0.01093300000002273,0.022652999999991152,0.0105400000006739,2421.0775,1345.75548
312,236.090789,1177.590897,5705,3768.86348,1,3,y2+1,b31,0.999999999999955,y+1,0.004990999999989754,0.01981099999966318,0.015999999999166903,236.09578,3530.7372000000005
323,324.132025,1148.253578,8525,3768.8927590000003,1,3,b3,y30+1,0.999999999999955,y+1,0.001814999999965039,0.04228400000010879,0.04527899999948204,324.13021000000003,3442.7027700000003
326,940.836838,946.359566,9477,3768.8700799999997,3,1,y24+1,b9,0.999999999999955,y+1,0.015523999999004445,0.005896000000007007,0.02259999999887441,2820.4793100000006,946.35367
344,477.271577,1097.1974,16591,3768.863777,1,3,y4+1,b29,0.999999999999955,y+1,0.0032230000000481596,0.018339999999625434,0.016296999999212858,477.2748,3289.5581800000004
448,817.347653,983.81552,53198,3768.794213,1,3,b8,y25+1,0.999999999999955,y+1,0.03657300000008945,0.0910200000007535,0.0532670000006874,817.31108,2949.5219000000006
346,237.097976,1177.25042,17146,3768.849236,1,3,y2+2,,0.999999999999955,y+2,0.0011539999999854444,,0.001755999999204505,237.09912999999997,
363,934.461121,944.781016,22643,3768.804169,1,3,y8+3,,0.999999999999955,y+3,0.09475900000006732,,0.04331100000081278,934.5558800000001,
486,935.462508,944.447173,69052,3768.804027,1,3,y8+4,,0.999999999999955,y+4,0.09672200000022713,,0.04345300000068164,935.5592300000002,
314,721.004058,1163.93256,6587,3769.873236,2,2,,,1.99999999999991,Parent+1 (Unannotated),,,0.02240599999913684,,
316,940.099012,943.218563,6989,3769.7547010000003,1,3,,,1.99999999999991,Parent+1 (Unannotated),,,0.09612900000047375,,
350,890.458114,1098.533909,18656,3769.908251,3,1,,,1.99999999999991,Parent+1 (Unannotated),,,0.057420999999067135,,
