,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
8,348.178404,1140.564372,7,3769.8715200000006,1,3,y3,b30+2,1.99999999999991,b+2,0.0019139999999993051,0.01759600000013961,0.020689999999831343,348.17649,3419.6598400000003
9,235.093728,1178.259151,8,3769.8711809999995,1,3,y2,b31+2,1.99999999999991,b+2,0.0012980000000197833,0.017872999999326566,0.02035099999875456,235.09242999999998,3532.7439000000004
11,818.466536,983.801129,10,3769.8699229999997,1,3,y7,b26+2,1.99999999999991,b+2,0.004765999999904125,0.013146999999662512,0.019092999998974847,818.4617700000001,2949.37456
18,577.322546,1064.182766,15,3769.8708439999996,1,3,y5,b28+2,1.99999999999991,b+2,0.003415999999901942,0.015417999999499443,0.020013999998809595,577.3191300000001,3190.5172000000002
26,616.340608,1268.595117,26,3769.87145,2,2,y10,b23+2,1.99999999999991,b+2,0.005305999999791311,0.014134000000012747,0.020619999999325955,1231.6680700000002,2536.16826
42,931.551515,946.106347,40,3769.8705560000003,1,3,y8,b25+2,1.99999999999991,b+2,0.0056849999998576095,0.012861000000157219,0.019725999999536725,931.5458300000001,2836.2905
56,559.319043,1325.617291,54,3769.872668,2,2,y9,b24+2,1.99999999999991,b+2,0.005105999999841515,0.015551999999843247,0.02183799999920666,1117.62514,2650.21119
59,846.064658,1231.675462,57,3769.869436,3,1,b23+2,y10,1.99999999999991,b+2,0.010033999999905063,0.007391999999754262,0.018605999999181222,2536.16826,1231.6680700000002
66,409.736522,1475.200129,65,3769.873302,2,2,y7,b26+2,1.99999999999991,b+2,0.0034339999998564963,0.0178579999997055,0.02247199999919758,818.4617700000001,2949.37456
82,931.913984,953.020518,83,3769.869004,2,2,b17+2,y16,1.99999999999991,b+2,0.0066080000003694295,0.010385999999925843,0.018173999999362422,1862.8135199999997,1905.0228100000002
94,235.10267,1178.259151,96,3769.880123,1,3,y2,b31+2,1.99999999999991,b+2,0.010240000000010241,0.017872999999326566,0.02929299999914292,235.09242999999998,3532.7439000000004
98,647.751052,1237.183441,100,3769.8689859999995,2,2,b12+2,y21,1.99999999999991,b+2,0.002793999999994412,0.014181999998982064,0.018155999998725747,1294.49147,2473.3448600000006
103,466.278915,1418.657554,107,3769.8729379999995,2,2,y8,b25+2,1.99999999999991,b+2,0.004159999999842512,0.016767999999501626,0.022107999998752348,931.5458300000001,2836.2905
124,760.836221,1124.0988,140,3769.870042,2,2,b14+2,y19,1.99999999999991,b+2,0.005012000000306216,0.013019999999414722,0.019211999999242835,1520.6595899999998,2247.1767400000003
134,917.501688,967.43323,155,3769.869836,2,2,y15,b18+2,1.99999999999991,b+2,0.009835999999722844,0.00799000000029082,0.019005999999080814,1833.9857000000002,1933.8506299999997
135,704.293766,1180.641459,158,3769.87045,2,2,b13+2,y20,1.99999999999991,b+2,0.004162000000178523,0.014277999999194435,0.01961999999912223,1407.5755299999998,2360.2608000000005
158,881.982424,1002.95252,193,3769.869888,2,2,y14,b19+2,1.99999999999991,b+2,0.008417999999892345,0.00946000000044478,0.019057999999404274,1762.9485900000002,2004.8877399999997
167,884.079238,1117.631792,206,3769.869506,3,1,b24+2,y9,1.99999999999991,b+2,0.010843999999906373,0.006651999999803593,0.018675999999231863,2650.21119,1117.62514
178,672.883173,1212.053069,221,3769.8724840000004,2,2,y11,b22+2,1.99999999999991,b+2,0.0063760000000456785,0.014098000000103639,0.021653999999671214,1344.75213,2423.0842
191,803.931349,1081.003689,245,3769.8700759999997,2,2,y13,b20+2,1.99999999999991,b+2,0.007377999999789608,0.010687999999845488,0.01924599999892962,1606.8474800000001,2160.9888499999997
255,746.417687,1138.517507,831,3769.8703880000003,2,2,y12,b21+2,1.99999999999991,b+2,0.0069939999998496205,0.011383999999907246,0.019557999999506137,1491.8205400000002,2276.01579
