Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,a4-(NH3)-(HCOH)(1+),301.62,587.13,ai(5-11)-(H2O)(1+),1043.7269982949315,240.90794781384372,0.528
,y3-(NH3)(1+),301.62,587.13,ai(5-11)-(H2O)(1+),1043.7269982949315,240.90794781384372,0.557
209,,316.62,607.32,,1244.263103341762,240.41396015425917,
210,ai(8-11)-(HCOH)(1+),261.27,625.58,b7-2(NH3)-(HCOH)(1+),875.689388210777,240.06483166560193,0.704
,ai(8-11)-(HCOH)(1+),261.27,625.58,a7-2(H2O)(1+),875.689388210777,240.06483166560193,0.743
211,y3-2(NH3)(1+),284.85,395.95,ai(7-11)-2(H2O)-(HCOH)(1+),771.4411525605535,239.24769826082323,0.769
212,,510.3,630.38,,1140.9900322619603,238.49449720002826,
213,,608.05,1009.45,,1372.032527454456,238.2374670692051,
214,,386.29,522.93,,955.4623426840986,238.220377266793,
215,,389.05,690.37,,909.8047396902756,238.16691520830764,
216,,375.74,878.09,,1309.442963025339,237.8797625818884,
217,y2-2(NH3)(1+),228.28,614.96,a7-(NH3)-(HCOH)(1+),1190.9199580501129,237.42716867682847,0.385
,y2-2(NH3)(1+),228.28,614.96,ai(5-12)-(NH3)-(HCOH)(1+),1190.9199580501129,237.42716867682847,0.385
,bi(8-10)-2(NH3)(1+),228.28,614.96,a7-(NH3)-(HCOH)(1+),1190.9199580501129,237.42716867682847,0.4
,y2-2(NH3)(1+),228.28,614.96,a7-(H2O)-(HCOH)(1+),1190.9199580501129,237.42716867682847,0.674
,y2-2(NH3)(1+),228.28,614.96,ai(5-12)-(H2O)-(HCOH)(1+),1190.9199580501129,237.42716867682847,0.674
,bi(8-10)-2(NH3)(1+),228.28,614.96,a7-(H2O)-(HCOH)(1+),1190.9199580501129,237.42716867682847,0.683
218,,993.73,1152.3,,706.9932154775399,237.23866382620872,
219,,607.0,808.54,,1340.10544970163,236.70859882471808,
220,b5(1+),463.07,539.31,ai(6-12)-2(H2O)(1+),967.8610537229088,236.1184606966946,0.124
,b5(1+),463.07,539.31,bi(6-12)-2(NH3)-(HCOH)(1+),967.8610537229088,236.1184606966946,0.139
221,,708.64,1152.65,,1362.2752739114712,235.94086372327908,
222,,375.93,406.16,,873.6692359814338,235.23116206053166,
223,,540.88,604.29,,1388.91491534282,233.9830894068493,
224,,523.51,589.32,,1543.0179382650952,233.71554730061138,
225,,607.52,787.61,,1156.089787151443,233.45311943564994,
226,b5-(HCOH)(1+),433.36,534.01,y6-(NH3)-(HCOH)(1+),1103.276213942728,232.96530809383802,0.781
227,,635.67,1098.13,,1063.6954334347345,232.92350881274274,
228,a6-(NH3)(1+),475.68,550.44,y6-(HCOH)(1+),1852.2531534716131,232.5887699955175,0.519
229,,607.33,974.89,,892.0678974469595,231.99843800908124,
230,y5-(HN=C=NH)-(HCOH)(1+),450.94,626.78,ai(3-9)-2(H2O)(1+),754.9713732639642,231.98175687123208,0.552
,y5-(HN=C=NH)-(HCOH)(1+),450.94,626.78,a7-2(H2O)(1+),754.9713732639642,231.98175687123208,0.552
,y5-(HN=C=NH)-(HCOH)(1+),450.94,626.78,b7-2(NH3)-(HCOH)(1+),754.9713732639642,231.98175687123208,0.587
