,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
460,942.844815,942.968225,5523,3771.7494899999997,942.844815,2828.9046749999998,1,3,942.844815,2826.888995,1*m/z A + 3*m/z B,0.09464000000116357,0.0,,,,,,,,,,,4,66
3,236.090789,1177.590897,5705,3768.86348,236.090789,3532.772691,1,3,236.090789,3530.757011,1*m/z A + 3*m/z B,0.019349999999121792,0.0,+1,0.004990999999989754,236.09578,1.0,y2,0,0.01981099999966318,3530.7372000000005,0.0,b31,1,86
379,846.064658,974.803444,5836,3770.4749899999997,846.064658,2924.410332,1,3,846.064658,2922.394652,1*m/z A + 3*m/z B,0.36914000000115266,0.0,,,,,,,,,,,3,92
378,869.68431,966.932342,5900,3770.481336,869.68431,2900.7970259999997,1,3,869.68431,2898.7813459999998,1*m/z A + 3*m/z B,0.36279400000103124,0.0,,,,,,,,,,,3,92
218,876.946427,964.453202,5916,3770.306033,876.946427,2893.359606,1,3,876.946427,2891.343926,1*m/z A + 3*m/z B,0.46190299999898343,0.0,,,,,,,,,,,2,101
375,931.21826,977.461038,6003,3771.1158179999998,2793.65478,977.461038,3,1,2791.6391,977.461038,3*m/z A + 1*m/z B,0.27168799999890325,0.0,,,,,,,,,,,3,92
373,937.713986,944.447173,6102,3771.0555050000003,937.713986,2833.341519,1,3,937.713986,2831.325839,1*m/z A + 3*m/z B,0.211374999999407,0.0,+6,0.14805599999988317,937.5659300000001,6.0,y8,,,,,,3,92
372,938.96428,946.359566,6261,3770.647692,1877.92856,1892.719132,2,2,1876.92072,1891.711292,2*m/z A + 2*m/z B,0.1964380000008532,0.0,,,,,,,,,,,3,92
463,883.69491,1002.147949,6347,3771.685718,1767.38982,2004.295898,2,2,1766.38198,2003.288058,2*m/z A + 2*m/z B,0.15841200000068056,0.0,+3,0.4233399999998255,1765.9586400000003,3.0,y14,0,0.4070180000003347,2002.8810399999998,0.0,b19,4,66
85,937.713986,946.774273,6367,3768.976518,1875.427972,1893.548546,2,2,1874.420132,1892.540706,2*m/z A + 2*m/z B,0.13238799999908224,0.0,,,,,,,,,,,1,86
308,883.745171,1119.63772,6499,3770.8732330000003,2651.235513,1119.63772,3,1,2649.219833,1119.63772,3*m/z A + 1*m/z B,0.02910299999939525,0.0,+1,0.011993000000074971,2649.20784,1.0,b24,+2,0.005879999999933716,1119.63184,2.0,y9,3,92
188,721.004058,1163.93256,6587,3769.873236,1442.008116,2327.86512,2,2,1441.000276,2326.8572799999997,2*m/z A + 2*m/z B,0.029105999999046617,0.0,,,,,,,,,,,2,101
204,883.69491,1118.6357,6597,3769.7204300000003,2651.08473,1118.6357,3,1,2649.06905,1118.6357,3*m/z A + 1*m/z B,0.1237000000005537,0.0,+1,0.13878999999997177,2649.20784,1.0,b24,+1,0.007209999999986394,1118.62849,1.0,y9,2,101
94,928.708474,983.1326,6610,3769.258022,2786.125422,983.1326,3,1,2784.109742,983.1326,3*m/z A + 1*m/z B,0.4138919999991231,0.0,,,,,,,,,,,1,86
99,931.413618,974.135295,6830,3768.376149,2794.240854,974.135295,3,1,2792.225174,974.135295,3*m/z A + 1*m/z B,0.467981000000691,0.0,,,,,,,,,,,1,86
1,808.035566,1344.730161,6859,3768.836859,2424.106698,1344.730161,3,1,2422.091018,1344.730161,3*m/z A + 1*m/z B,0.007271000000855565,0.0,+1,0.010168000000248867,2422.08085,1.0,b22,0,0.02196900000012647,1344.75213,0.0,y11,1,86
259,937.713986,946.106347,6897,3767.6406660000002,1875.427972,1892.212694,2,2,1874.420132,1891.204854,2*m/z A + 2*m/z B,0.20346400000062204,0.0,,,,,,,,,,,parent,52
23,932.554952,1418.156315,6969,3768.867582,932.554952,2836.31263,1,2,932.554952,2835.3047899999997,1*m/z A + 2*m/z B,0.023451999998997053,0.0,+1,0.005771999999865329,932.5491800000001,1.0,y8,+1,0.017639999999573774,2835.28715,1.0,b25,1,86
201,940.099012,943.218563,6989,3769.7547010000003,940.099012,2829.655689,1,3,940.099012,2827.640009,1*m/z A + 3*m/z B,0.08942900000056397,0.0,,,,,,,,,,,2,101
365,936.439894,944.781016,7043,3770.7829420000003,936.439894,2834.343048,1,3,936.439894,2832.327368,1*m/z A + 3*m/z B,0.061188000000584,0.0,+5,0.12268600000015795,936.5625800000001,5.0,y8,,,,,,3,92
