,m/z A,m/z B,Ranking,comp_1_m/z A,comp_4_m/z B,1*m/z A + 4*m/z B,comp_2_m/z A,comp_3_m/z B,2*m/z A + 3*m/z B,comp_3_m/z A,comp_2_m/z B,3*m/z A + 2*m/z B,comp_4_m/z A,comp_1_m/z B,4*m/z A + 1*m/z B,1*m/z A + 3*m/z B,2*m/z A + 2*m/z B,3*m/z A + 1*m/z B
1170457,665.92444779,892.52552908,29,665.92444779,3570.10211632,4236.0265641099995,1331.84889558,2677.5765872399998,4009.42548282,1997.77334337,1785.05105816,3782.8244015299997,2663.69779116,892.52552908,3556.2233202400002,3343.50103503,3116.89995374,2890.29887245
518549,595.35452841,1198.72451443,30,595.35452841,4794.89805772,5390.25258613,1190.70905682,3596.17354329,4786.88260011,1786.0635852299997,2397.44902886,4183.512614089999,2381.41811364,1198.72451443,3580.14262807,4191.5280717,3588.15808568,2984.7880996599997
2702537,730.44140272,1084.64851673,31,730.44140272,4338.59406692,5069.03546964,1460.88280544,3253.94555019,4714.82835563,2191.32420816,2169.29703346,4360.62124162,2921.76561088,1084.64851673,4006.41412761,3984.38695291,3630.1798389,3275.97272489
516553,595.35452841,799.48371698,32,595.35452841,3197.93486792,3793.2893963300003,1190.70905682,2398.45115094,3589.16020776,1786.0635852299997,1598.96743396,3385.03101919,2381.41811364,799.48371698,3180.9018306199996,2993.80567935,2789.6764907799998,2585.5473022099995
591783,601.37494387,934.55495728,33,601.37494387,3738.21982912,4339.59477299,1202.74988774,2803.66487184,4006.4147595800005,1804.12483161,1869.10991456,3673.23474617,2405.49977548,934.55495728,3340.05473276,3405.0398157100003,3071.8598023000004,2738.67978889
591786,601.37494387,935.55935636,34,601.37494387,3742.23742544,4343.61236931,1202.74988774,2806.67806908,4009.42795682,1804.12483161,1871.11871272,3675.24354433,2405.49977548,935.55935636,3341.05913184,3408.0530129500003,3073.8686004600004,2739.68418797
3469667,758.45134485,812.49088097,35,758.45134485,3249.96352388,4008.4148687300003,1516.9026897,2437.47264291,3954.3753326100004,2275.35403455,1624.98176194,3900.33579649,3033.8053794,812.49088097,3846.2962603700003,3195.9239877600003,3141.8844516400004,3087.84491552
2528744,723.6906452,1085.65087081,36,723.6906452,4342.60348324,5066.29412844,1447.3812904,3256.95261243,4704.33390283,2171.0719356,2171.30174162,4342.37367722,2894.7625808,1085.65087081,3980.41345161,3980.64325763,3618.6830320199997,3256.72280641
1725039,694.42227497,1198.72451443,37,694.42227497,4794.89805772,5489.32033269,1388.84454994,3596.17354329,4985.01809323,2083.2668249099997,2397.44902886,4480.71585377,2777.68909988,1198.72451443,3976.41361431,4290.59581826,3786.2935788,3281.9913393399997
3178659,748.70239811,1013.61126831,38,748.70239811,4054.44507324,4803.14747135,1497.40479622,3040.83380493,4538.23860115,2246.10719433,2027.22253662,4273.329730949999,2994.80959244,1013.61126831,4008.42086075,3789.53620304,3524.6273328400002,3259.71846264
599179,601.87567191,934.88923931,39,601.87567191,3739.55695724,4341.43262915,1203.75134382,2804.66771793,4008.41906175,1805.62701573,1869.77847862,3675.40549435,2407.50268764,934.88923931,3342.39192695,3406.54338984,3073.5298224400003,2740.51625504
2051292,706.17594086,1183.71377129,40,706.17594086,4734.85508516,5441.03102602,1412.35188172,3551.14131387,4963.49319559,2118.52782258,2367.42754258,4485.95536516,2824.70376344,1183.71377129,4008.4175347299997,4257.31725473,3779.7794243,3302.2415938699996
1725038,694.42227497,1198.2234754,41,694.42227497,4792.8939016,5487.316176570001,1388.84454994,3594.6704262000003,4983.514976140001,2083.2668249099997,2396.4469508,4479.71377571,2777.68909988,1198.2234754,3975.91257528,4289.0927011700005,3785.29150074,3281.49030031
2328283,715.95928161,859.16708053,42,715.95928161,3436.66832212,4152.62760373,1431.91856322,2577.50124159,4009.4198048099997,2147.87784483,1718.33416106,3866.21200589,2863.83712644,859.16708053,3723.00420697,3293.4605232,3150.2527242799997,3007.04492536
2296291,714.95639853,859.50288756,43,714.95639853,3438.01155024,4152.96794877,1429.91279706,2578.50866268,4008.4214597399996,2144.86919559,1719.00577512,3863.8749707099996,2859.82559412,859.50288756,3719.32848168,3293.46506121,3148.91857218,3004.37208315
2315500,715.45818357,859.50288756,44,715.45818357,3438.01155024,4153.4697338099995,1430.91636714,2578.50866268,4009.4250298199995,2146.3745507099998,1719.00577512,3865.3803258299995,2861.83273428,859.50288756,3721.33562184,3293.96684625,3149.92214226,3005.87743827
4726425,798.23661189,816.47514528,45,798.23661189,3265.90058112,4064.13719301,1596.47322378,2449.42543584,4045.8986596199998,2394.70983567,1632.95029056,4027.66012623,3192.94644756,816.47514528,4009.42159284,3247.66204773,3229.42351434,3211.18498095
3190317,748.95326413,1013.61126831,46,748.95326413,4054.44507324,4803.39833737,1497.90652826,3040.83380493,4538.7403331900005,2246.8597923899997,2027.22253662,4274.08232901,2995.81305652,1013.61126831,4009.42432483,3789.7870690600002,3525.12906488,3260.4710606999997
3469665,758.45134485,812.24069195,47,758.45134485,3248.9627678,4007.4141126500003,1516.9026897,2436.7220758500002,3953.62476555,2275.35403455,1624.4813839,3899.8354184500004,3033.8053794,812.24069195,3846.04607135,3195.1734207000004,3141.3840736,3087.5947265
2986974,741.70294657,1013.61126831,48,741.70294657,4054.44507324,4796.14801981,1483.40589314,3040.83380493,4524.23969807,2225.10883971,2027.22253662,4252.33137633,2966.81178628,1013.61126831,3980.42305459,3782.5367515,3510.62842976,3238.72010802
591785,601.37494387,935.22361234,49,601.37494387,3740.89444936,4342.26939323,1202.74988774,2805.6708370200004,4008.4207247600007,1804.12483161,1870.44722468,3674.57205629,2405.49977548,935.22361234,3340.7233878200004,3407.0457808900005,3073.19711242,2739.34844395
2007735,705.08690078,946.07784516,50,705.08690078,3784.31138064,4489.39828142,1410.17380156,2838.2335354800002,4248.40733704,2115.2607023399996,1892.15569032,4007.4163926599995,2820.34760312,946.07784516,3766.4254482799997,3543.32043626,3302.32949188,3061.3385474999995
322391,559.35432567,862.01569175,51,559.35432567,3448.062767,4007.41709267,1118.70865134,2586.04707525,3704.75572659,1678.06297701,1724.0313835,3402.09436051,2237.41730268,862.01569175,3099.43299443,3145.40140092,2842.7400348399997,2540.07866876
1163374,665.42238076,891.85658203,52,665.42238076,3567.42632812,4232.84870888,1330.84476152,2675.56974609,4006.4145076100003,1996.26714228,1783.71316406,3779.98030634,2661.68952304,891.85658203,3553.54610507,3340.99212685,3114.5579255800003,2888.12372431
2708693,730.69224573,1086.65172689,53,730.69224573,4346.60690756,5077.29915329,1461.38449146,3259.95518067,4721.33967213,2192.07673719,2173.30345378,4365.38019097,2922.76898292,1086.65172689,4009.4207098099996,3990.6474264,3634.68794524,3278.72846408
516569,595.35452841,799.81809301,54,595.35452841,3199.27237204,3794.62690045,1190.70905682,2399.45427903,3590.1633358500003,1786.0635852299997,1599.63618602,3385.6997712499997,2381.41811364,799.81809301,3181.23620665,2994.8088074400002,2790.3452428399996,2585.88167824
4679715,797.73520585,816.47514528,55,797.73520585,3265.90058112,4063.63578697,1595.4704117,2449.42543584,4044.89584754,2393.20561755,1632.95029056,4026.1559081100004,3190.9408234,816.47514528,4007.4159686800003,3247.16064169,3228.4207022600003,3209.6807628300003
148665,536.85350795,977.56952857,56,536.85350795,3910.27811428,4447.13162223,1073.7070159,2932.70858571,4006.41560161,1610.56052385,1955.13905714,3565.69958099,2147.4140318,977.56952857,3124.98356037,3469.56209366,3028.84607304,2588.13005242
6993280,977.61429757,1057.12880763,57,977.61429757,4228.51523052,5206.129528089999,1955.22859514,3171.38642289,5126.61501803,2932.84289271,2114.25761526,5047.10050797,3910.45719028,1057.12880763,4967.58599791,4149.000720460001,4069.4862104,3989.97170034
516586,595.35452841,800.15214703,58,595.35452841,3200.60858812,3795.96311653,1190.70905682,2400.45644109,3591.1654979100003,1786.0635852299997,1600.30429406,3386.36787929,2381.41811364,800.15214703,3181.5702606699997,2995.8109695000003,2791.01335088,2586.2157322599996
1630143,688.41670251,1254.75707471,59,688.41670251,5019.02829884,5707.445001350001,1376.83340502,3764.2712241300005,5141.104629150001,2065.25010753,2509.51414942,4574.76425695,2753.66681004,1254.75707471,4008.42388475,4452.687926640001,3886.3475544400003,3320.0071822400005
