,m/z A,m/z B,Ranking,comp_1_m/z A,comp_4_m/z B,1*m/z A + 4*m/z B,comp_2_m/z A,comp_3_m/z B,2*m/z A + 3*m/z B,comp_3_m/z A,comp_2_m/z B,3*m/z A + 2*m/z B,comp_4_m/z A,comp_1_m/z B,4*m/z A + 1*m/z B,1*m/z A + 3*m/z B,2*m/z A + 2*m/z B,3*m/z A + 1*m/z B
4221635,786.47911599,892.19044005,212,786.47911599,3568.7617602,4355.24087619,1572.95823198,2676.5713201500002,4249.52955213,2359.43734797,1784.3808801,4143.81822807,3145.91646396,892.19044005,4038.10690401,3463.0504361400003,3357.3391120799997,3251.6277880199996
595482,601.38377887,934.88923931,213,601.38377887,3739.55695724,4340.94073611,1202.76755774,2804.66771793,4007.43527567,1804.15133661,1869.77847862,3673.92981523,2405.53511548,934.88923931,3340.42435479,3406.0514967999998,3072.54603636,2739.0405759200003
3188664,748.95326413,792.07474342,214,748.95326413,3168.29897368,3917.25223781,1497.90652826,2376.22423026,3874.1307585199997,2246.8597923899997,1584.14948684,3831.0092792299997,2995.81305652,792.07474342,3787.88779994,3125.17749439,3082.0560151,3038.93453581
2966877,741.20067154,741.42345055,215,741.20067154,2965.6938022,3706.8944737399997,1482.40134308,2224.27035165,3706.67169473,2223.60201462,1482.8469011,3706.4489157199996,2964.80268616,741.42345055,3706.22613671,2965.47102319,2965.2482441800003,2965.0254651699997
4407694,791.23747635,1254.75707471,216,791.23747635,5019.02829884,5810.265775190001,1582.4749527,3764.2712241300005,5346.74617683,2373.7124290499996,2509.51414942,4883.226578469999,3164.9499054,1254.75707471,4419.70698011,4555.508700480001,4091.98910212,3628.4695037599995
6555662,917.22880596,973.92171729,217,917.22880596,3895.68686916,4812.91567512,1834.45761192,2921.76515187,4756.22276379,2751.68641788,1947.84343458,4699.52985246,3668.91522384,973.92171729,4642.83694113,3838.99395783,3782.3010464999998,3725.60813517
3529277,760.12601298,914.54116676,218,760.12601298,3658.16466704,4418.29068002,1520.25202596,2743.62350028,4263.87552624,2280.37803894,1829.08233352,4109.46037246,3040.50405192,914.54116676,3955.0452186800003,3503.7495132599997,3349.33435948,3194.9192057
80475,524.32292199,1198.72451443,219,524.32292199,4794.89805772,5319.22097971,1048.64584398,3596.17354329,4644.81938727,1572.9687659700003,2397.44902886,3970.4177948300003,2097.29168796,1198.72451443,3296.01620239,4120.49646528,3446.09487284,2771.6932804000003
7361730,1151.66228384,1226.05804152,220,1151.66228384,4904.23216608,6055.89444992,2303.32456768,3678.1741245599997,5981.49869224,3454.9868515200005,2452.11608304,5907.10293456,4606.64913536,1226.05804152,5832.707176880001,4829.8364083999995,4755.44065072,4681.044893040001
3468964,758.45134485,762.45964716,221,758.45134485,3049.83858864,3808.2899334900003,1516.9026897,2287.3789414800003,3804.2816311800007,2275.35403455,1524.91929432,3800.27332887,3033.8053794,762.45964716,3796.2650265600005,3045.8302863300005,3041.82198402,3037.8136817100003
535133,596.35720749,799.48371698,222,596.35720749,3197.93486792,3794.29207541,1192.71441498,2398.45115094,3591.1655659199996,1789.07162247,1598.96743396,3388.03905643,2385.42882996,799.48371698,3184.9125469399996,2994.8083584299998,2791.6818489400002,2588.5553394500002
337426,560.35709774,857.51085041,223,560.35709774,3430.04340164,3990.40049938,1120.71419548,2572.53255123,3693.24674671,1681.07129322,1715.02170082,3396.09299404,2241.42839096,857.51085041,3098.9392413699998,3132.88964897,2835.7358962999997,2538.58214363
7067206,997.26681507,1275.77237731,224,997.26681507,5103.08950924,6100.35632431,1994.53363014,3827.31713193,5821.85076207,2991.80044521,2551.54475462,5543.34519983,3989.06726028,1275.77237731,5264.83963759,4824.583947,4546.07838476,4267.57282252
6571260,919.54352114,941.90457684,225,919.54352114,3767.61830736,4687.1618285,1839.08704228,2825.71373052,4664.8007728,2758.6305634200003,1883.80915368,4642.4397171,3678.17408456,941.90457684,4620.0786614,3745.25725166,3722.89619596,3700.5351402600004
7148002,1022.564013,1082.98719361,226,1022.564013,4331.94877444,5354.5127874400005,2045.128026,3248.9615808300005,5294.089606830001,3067.692039,2165.97438722,5233.66642622,4090.256052,1082.98719361,5173.2432456100005,4271.525593830001,4211.10241322,4150.67923261
6531775,914.54116676,997.60113709,227,914.54116676,3990.40454836,4904.9457151199995,1829.08233352,2992.8034112699997,4821.88574479,2743.62350028,1995.20227418,4738.82577446,3658.16466704,997.60113709,4655.76580413,3907.34457803,3824.2846077,3741.22463737
6618437,924.52929452,1084.64851673,228,924.52929452,4338.59406692,5263.12336144,1849.05858904,3253.94555019,5103.00413923,2773.58788356,2169.29703346,4942.88491702,3698.11717808,1084.64851673,4782.76569481,4178.47484471,4018.3556225,3858.2364002900003
4416371,791.48852737,916.54758991,229,791.48852737,3666.19035964,4457.67888701,1582.97705474,2749.64276973,4332.61982447,2374.46558211,1833.09517982,4207.56076193,3165.95410948,916.54758991,4082.5016993900003,3541.1312971,3416.07223456,3291.01317202
6046607,869.2699973,1084.64851673,230,869.2699973,4338.59406692,5207.86406422,1738.5399946,3253.94555019,4992.48554479,2607.8099919,2169.29703346,4777.10702536,3477.0799892,1084.64851673,4561.72850593,4123.21554749,3907.83702806,3692.4585086300003
7044953,991.59523963,1031.29272266,231,991.59523963,4125.17089064,5116.76613027,1983.19047926,3093.87816798,5077.06864724,2974.78571889,2062.58544532,5037.371164210001,3966.38095852,1031.29272266,4997.67368118,4085.47340761,4045.77592458,4006.07844155
3165323,748.45163909,791.47342237,232,748.45163909,3165.89368948,3914.3453285699998,1496.90327818,2374.42026711,3871.32354529,2245.35491727,1582.94684474,3828.30176201,2993.80655636,791.47342237,3785.27997873,3122.8719062,3079.85012292,3036.82833964
5964013,862.01569175,1149.02009664,233,862.01569175,4596.08038656,5458.09607831,1724.0313835,3447.0602899200003,5171.09167342,2586.04707525,2298.04019328,4884.08726853,3448.062767,1149.02009664,4597.08286364,4309.07598167,4022.07157678,3735.0671718900003
5293905,812.49088097,926.59762468,234,812.49088097,3706.39049872,4518.881379689999,1624.98176194,2779.79287404,4404.77463598,2437.47264291,1853.19524936,4290.66789227,3249.96352388,926.59762468,4176.56114856,3592.28375501,3478.1770113000002,3364.07026759
600945,601.88282091,723.43894818,235,601.88282091,2893.75579272,3495.63861363,1203.76564182,2170.31684454,3374.08248636,1805.64846273,1446.87789636,3252.52635909,2407.53128364,723.43894818,3130.9702318199998,2772.19966545,2650.64353818,2529.08741091
512112,595.31772241,741.20067154,236,595.31772241,2964.80268616,3560.12040857,1190.63544482,2223.60201462,3414.23745944,1785.95316723,1482.40134308,3268.35451031,2381.27088964,741.20067154,3122.47156118,2818.91973703,2673.0367879,2527.15383877
2294848,714.95639853,717.1866347,237,714.95639853,2868.7465388,3583.70293733,1429.91279706,2151.5599041,3581.47270116,2144.86919559,1434.3732694,3579.24246499,2859.82559412,717.1866347,3577.01222882,2866.51630263,2864.2860664600003,2862.05583029
5803537,852.01481599,1014.61406839,238,852.01481599,4058.45627356,4910.47108955,1704.02963198,3043.84220517,4747.87183715,2556.04444797,2029.22813678,4585.2725847500005,3408.05926396,1014.61406839,4422.67333235,3895.85702116,3733.25776876,3570.6585163600002
724809,630.39209208,1048.64142699,239,630.39209208,4194.56570796,4824.95780004,1260.78418416,3145.92428097,4406.70846513,1891.1762762399999,2097.28285398,3988.4591302199997,2521.56836832,1048.64142699,3570.20979531,3776.31637305,3358.0670381399996,2939.81770323
874025,645.44305723,1015.93719849,240,645.44305723,4063.74879396,4709.19185119,1290.88611446,3047.81159547,4338.69770993,1936.32917169,2031.87439698,3968.20356867,2581.77222892,1015.93719849,3597.70942741,3693.2546527000004,3322.7605114400003,2952.26637018
7257883,1073.65004289,1225.38935047,241,1073.65004289,4901.55740188,5975.20744477,2147.30008578,3676.16805141,5823.46813719,3220.9501286699997,2450.77870094,5671.72882961,4294.60017156,1225.38935047,5519.9895220299995,4749.8180943,4598.07878672,4446.33947914
6267556,887.27810968,920.04439218,242,887.27810968,3680.17756872,4567.4556784,1774.55621936,2760.13317654,4534.6893959,2661.83432904,1840.08878436,4501.9231134,3549.11243872,920.04439218,4469.1568308999995,3647.41128622,3614.64500372,3581.87872122
1323901,671.36049721,762.21408314,243,671.36049721,3048.85633256,3720.21682977,1342.72099442,2286.6422494199996,3629.3632438399995,2014.0814916299998,1524.42816628,3538.50965791,2685.44198884,762.21408314,3447.65607198,2958.00274663,2867.1491607,2776.29557477
4216011,786.27248997,815.4721272,244,786.27248997,3261.8885088,4048.1609987700003,1572.54497994,2446.4163816,4018.9613615400003,2358.81746991,1630.9442544,3989.7617243100003,3145.08995988,815.4721272,3960.5620870800003,3232.68887157,3203.48923434,3174.28959711
6221384,883.02535335,925.5636366,245,883.02535335,3702.2545464,4585.27989975,1766.0507067,2776.6909098,4542.7416165,2649.0760600500003,1851.1272732,4500.2033332500005,3532.1014134,925.5636366,4457.6650500000005,3659.71626315,3617.1779799,3574.63969665
1992488,704.75236676,715.45818357,246,704.75236676,2861.83273428,3566.5851010399997,1409.50473352,2146.3745507099998,3555.87928423,2114.25710028,1430.91636714,3545.1734674199997,2819.00946704,715.45818357,3534.46765061,2851.1269174699996,2840.42110066,2829.71528385
2226559,711.9249923,1030.62403761,247,711.9249923,4122.49615044,4834.42114274,1423.8499846,3091.87211283,4515.72209743,2135.7749769,2061.24807522,4197.02305212,2847.6999692,1030.62403761,3878.32400681,3803.79710513,3485.09805982,3166.39901451
4456007,792.69281446,997.93548112,248,792.69281446,3991.74192448,4784.43473894,1585.38562892,2993.80644336,4579.19207228,2378.07844338,1995.87096224,4373.94940562,3170.77125784,997.93548112,4168.70673896,3786.49925782,3581.25659116,3376.0139245
1723076,694.42227497,800.15214703,249,694.42227497,3200.60858812,3895.03086309,1388.84454994,2400.45644109,3789.30099103,2083.2668249099997,1600.30429406,3683.5711189699996,2777.68909988,800.15214703,3577.84124691,3094.8787160600004,2989.1488440000003,2883.4189719399997
258910,543.32786244,973.92171729,250,543.32786244,3895.68686916,4439.0147316,1086.65572488,2921.76515187,4008.42087675,1629.98358732,1947.84343458,3577.8270218999996,2173.31144976,973.92171729,3147.23316705,3465.09301431,3034.4991594599996,2603.90530461
2752450,732.43337987,761.95297412,251,732.43337987,3047.81189648,3780.24527635,1464.86675974,2285.85892236,3750.7256821,2197.30013961,1523.90594824,3721.2060878499997,2929.73351948,761.95297412,3691.6864935999997,3018.29230223,2988.7727079799997,2959.2531137299998
5690838,844.00541538,882.86536034,252,844.00541538,3531.46144136,4375.46685674,1688.01083076,2648.5960810200004,4336.606911780001,2532.01624614,1765.73072068,4297.74696682,3376.02166152,882.86536034,4258.8870218600005,3492.6014964000005,3453.74155144,3414.8816064800003
6885292,959.6188342,1066.63068336,253,959.6188342,4266.52273344,5226.141567639999,1919.2376684,3199.8920500799995,5119.12971848,2878.8565026,2133.26136672,5012.11786932,3838.4753368,1066.63068336,4905.10602016,4159.51088428,4052.49903512,3945.48718596
6128831,875.87359581,1184.72177837,254,875.87359581,4738.88711348,5614.76070929,1751.74719162,3554.1653351100003,5305.9125267300005,2627.62078743,2369.44355674,4997.0643441699995,3503.49438324,1184.72177837,4688.21616161,4430.03893092,4121.19074836,3812.3425657999996
724808,630.39209208,1048.61572098,255,630.39209208,4194.46288392,4824.8549760000005,1260.78418416,3145.84716294,4406.6313471,1891.1762762399999,2097.23144196,3988.4077182,2521.56836832,1048.61572098,3570.1840893,3776.23925502,3358.01562612,2939.7919972199998
3161144,748.20096607,1014.61406839,256,748.20096607,4058.45627356,4806.65723963,1496.40193214,3043.84220517,4540.24413731,2244.60289821,2029.22813678,4273.83103499,2992.80386428,1014.61406839,4007.4179326700005,3792.04317124,3525.63006892,3259.2169666
520287,595.36321741,799.81809301,257,595.36321741,3199.27237204,3794.6355894499998,1190.72643482,2399.45427903,3590.18071385,1786.08965223,1599.63618602,3385.72583825,2381.45286964,799.81809301,3181.27096265,2994.81749644,2790.36262084,2585.9077452399997
1223420,666.92783487,892.19044005,258,666.92783487,3568.7617602,4235.68959507,1333.85566974,2676.5713201500002,4010.42698989,2000.78350461,1784.3808801,3785.16438471,2667.71133948,892.19044005,3559.9017795299997,3343.49915502,3118.23654984,2892.9739446599997
5351664,816.47514528,967.22446478,259,816.47514528,3868.89785912,4685.373004399999,1632.95029056,2901.67339434,4534.6236849,2449.42543584,1934.44892956,4383.8743654,3265.90058112,967.22446478,4233.1250459,3718.14853962,3567.39922012,3416.6499006199997
6928625,965.82455967,1183.36964026,260,965.82455967,4733.47856104,5699.30312071,1931.64911934,3550.1089207800005,5481.75804012,2897.47367901,2366.73928052,5264.21295953,3863.29823868,1183.36964026,5046.66787894,4515.93348045,4298.38839986,4080.8433192700004
6605012,923.05965141,940.56475474,261,923.05965141,3762.25901896,4685.31867037,1846.11930282,2821.69426422,4667.813567040001,2769.1789542300003,1881.12950948,4650.30846371,3692.23860564,940.56475474,4632.80336038,3744.75391563,3727.2488123000003,3709.74370897
3570698,761.95297412,862.51654479,262,761.95297412,3450.06617916,4212.01915328,1523.90594824,2587.54963437,4111.45558261,2285.85892236,1725.03308958,4010.89201194,3047.81189648,862.51654479,3910.32844127,3349.50260849,3248.93903782,3148.37546715
7264221,1076.97803315,1183.36964026,263,1076.97803315,4733.47856104,5810.45659419,2153.9560663,3550.1089207800005,5704.064987080001,3230.9340994500003,2366.73928052,5597.6733799700005,4307.9121326,1183.36964026,5491.28177286,4627.08695393,4520.695346820001,4414.303739710001
5333522,815.4721272,1025.61805623,264,815.4721272,4102.47222492,4917.94435212,1630.9442544,3076.8541686900003,4707.79842309,2446.4163816,2051.23611246,4497.65249406,3261.8885088,1025.61805623,4287.50656503,3892.3262958900004,3682.1803668600005,3472.03443783
2543251,723.94091622,865.52751102,265,723.94091622,3462.11004408,4186.0509603,1447.88183244,2596.58253306,4044.4643655,2171.82274866,1731.05502204,3902.8777707,2895.76366488,865.52751102,3761.2911759,3320.52344928,3178.93685448,3037.35025968
6531722,914.54116676,983.93141705,266,914.54116676,3935.7256682,4850.26683496,1829.08233352,2951.79425115,4780.87658467,2743.62350028,1967.8628341,4711.48633438,3658.16466704,983.93141705,4642.09608409,3866.33541791,3796.94516762,3727.55491733
3584430,762.21408314,845.00817145,267,762.21408314,3380.0326858,4142.24676894,1524.42816628,2535.0245143499997,4059.4526806299996,2286.6422494199996,1690.0163429,3976.6585923199996,3048.85633256,845.00817145,3893.86450401,3297.23859749,3214.44450918,3131.65042087
599603,601.87567191,1016.27263652,268,601.87567191,4065.09054608,4666.96621799,1203.75134382,3048.81790956,4252.56925338,1805.62701573,2032.54527304,3838.17228877,2407.50268764,1016.27263652,3423.7753241600003,3650.69358147,3236.29661686,2821.89965225
1650854,689.6124046,705.92496085,269,689.6124046,2823.6998434,3513.312248,1379.2248092,2117.7748825500003,3496.9996917500002,2068.8372138,1411.8499217,3480.6871355000003,2758.4496184,705.92496085,3464.37457925,2807.3872871500002,2791.0747309,2774.76217465
5513049,829.99545931,887.02804966,270,829.99545931,3548.11219864,4378.1076579499995,1659.99091862,2661.08414898,4321.0750676,2489.98637793,1774.05609932,4264.04247725,3319.98183724,887.02804966,4207.0098869,3491.07960829,3434.04701794,3377.0144275899997
638274,613.36432778,768.96454765,271,613.36432778,3075.8581906,3689.22251838,1226.72865556,2306.89364295,3533.6222985100003,1840.09298334,1537.9290953,3378.02207864,2453.45731112,768.96454765,3222.42185877,2920.25797073,2764.6577508600003,2609.05753099
1296264,670.35039313,793.72959954,272,670.35039313,3174.91839816,3845.26879129,1340.70078626,2381.18879862,3721.8895848800003,2011.05117939,1587.45919908,3598.51037847,2681.40157252,793.72959954,3475.13117206,3051.53919175,2928.1599853400003,2804.78077893
4087709,781.4187686,798.23661189,273,781.4187686,3192.94644756,3974.36521616,1562.8375372,2394.70983567,3957.54737287,2344.2563058,1596.47322378,3940.72952958,3125.6750744,798.23661189,3923.91168629,3176.12860427,3159.31076098,3142.49291769
3027524,743.46907471,840.50130811,274,743.46907471,3362.00523244,4105.47430715,1486.93814942,2521.50392433,4008.4420737499995,2230.40722413,1681.00261622,3911.40984035,2973.87629884,840.50130811,3814.37760695,3264.9729990399996,3167.94076564,3070.90853224
2724048,731.19377777,1086.65172689,275,731.19377777,4346.60690756,5077.800685329999,1462.38755554,3259.95518067,4722.34273621,2193.58133331,2173.30345378,4366.88478709,2924.77511108,1086.65172689,4011.4268379699997,3991.14895844,3635.69100932,3280.2330602
6311957,891.78599802,1031.29272266,276,891.78599802,4125.17089064,5016.95688866,1783.57199604,3093.87816798,4877.45016402,2675.35799406,2062.58544532,4737.94343938,3567.14399208,1031.29272266,4598.43671474,3985.664166,3846.15744136,3706.6507167199998
6570607,919.29322312,1106.17862737,277,919.29322312,4424.71450948,5344.0077326,1838.58644624,3318.53588211,5157.12232835,2757.8796693599998,2212.35725474,4970.2369241,3677.17289248,1106.17862737,4783.35151985,4237.82910523,4050.94370098,3864.0582967299997
294225,556.35900344,676.40548759,278,556.35900344,2705.62195036,3261.9809538,1112.71800688,2029.21646277,3141.93446965,1669.0770103200002,1352.81097518,3021.8879855000005,2225.43601376,676.40548759,2901.8415013500003,2585.57546621,2465.52898206,2345.4824979100003
504118,594.35918134,665.42238076,279,594.35918134,2661.68952304,3256.04870438,1188.71836268,1996.26714228,3184.98550496,1783.07754402,1330.84476152,3113.92230554,2377.43672536,665.42238076,3042.85910612,2590.6263236199998,2519.5631242,2448.49992478
2465669,720.75981698,1013.61126831,280,720.75981698,4054.44507324,4775.20489022,1441.51963396,3040.83380493,4482.35343889,2162.27945094,2027.22253662,4189.50198756,2883.03926792,1013.61126831,3896.65053623,3761.59362191,3468.7421705799998,3175.89071925
3007275,742.44277263,914.78974078,281,742.44277263,3659.15896312,4401.60173575,1484.88554526,2744.36922234,4229.2547675999995,2227.32831789,1829.57948156,4056.9077994500003,2969.77109052,914.78974078,3884.5608313000002,3486.81199497,3314.4650268200003,3142.11805867
6221517,883.02535335,946.24219118,282,883.02535335,3784.96876472,4667.99411807,1766.0507067,2838.7265735399997,4604.7772802399995,2649.0760600500003,1892.48438236,4541.56044241,3532.1014134,946.24219118,4478.34360458,3721.7519268899996,3658.5350890600002,3595.31825123
371159,566.3275902,841.84744321,283,566.3275902,3367.38977284,3933.7173630400002,1132.6551804,2525.54232963,3658.19751003,1698.9827706,1683.69488642,3382.67765702,2265.3103608,841.84744321,3107.1578040100003,3091.86991983,2816.3500668200004,2540.8302138100003
163322,537.33785199,885.53694655,284,537.33785199,3542.1477862,4079.48563819,1074.67570398,2656.6108396500003,3731.2865436300003,1612.01355597,1771.0738931,3383.08744907,2149.35140796,885.53694655,3034.8883545099998,3193.94869164,2845.74959708,2497.55050252
76488,524.31704899,1134.67290555,285,524.31704899,4538.6916222,5063.00867119,1048.63409798,3404.01871665,4452.65281463,1572.95114697,2269.3458111,3842.29695807,2097.26819596,1134.67290555,3231.94110151,3928.33576564,3317.9799090799997,2707.62405252
1283665,669.9049751,965.82455967,286,669.9049751,3863.29823868,4533.20321378,1339.8099502,2897.47367901,4237.28362921,2009.7149253,1931.64911934,3941.36404464,2679.6199004,965.82455967,3645.44446007,3567.37865411,3271.45906954,2975.53948497
1659768,690.01400963,941.23344379,287,690.01400963,3764.93377516,4454.94778479,1380.02801926,2823.70033137,4203.72835063,2070.04202889,1882.46688758,3952.5089164700003,2760.05603852,941.23344379,3701.28948231,3513.7143410000003,3262.49490684,3011.27547268
3857830,772.96790396,1009.92436103,288,772.96790396,4039.69744412,4812.66534808,1545.93580792,3029.77308309,4575.70889101,2318.9037118799997,2019.84872206,4338.75243394,3091.87161584,1009.92436103,4101.79597687,3802.74098705,3565.78452998,3328.8280729099997
7193717,1044.62489468,1177.03260878,289,1044.62489468,4708.13043512,5752.755329799999,2089.24978936,3531.0978263399998,5620.3476157,3133.87468404,2354.06521756,5487.9399016,4178.49957872,1177.03260878,5355.532187499999,4575.72272102,4443.31500692,4310.90729282
6801912,947.8142343,1094.14815746,290,947.8142343,4376.59262984,5324.40686414,1895.6284686,3282.4444723799998,5178.07294098,2843.4427029,2188.29631492,5031.73901782,3791.2569372,1094.14815746,4885.40509466,4230.25870668,4083.92478352,3937.59086036
4063580,780.47369953,1085.65087081,291,780.47369953,4342.60348324,5123.07718277,1560.94739906,3256.95261243,4817.90001149,2341.42109859,2171.30174162,4512.72284021,3121.89479812,1085.65087081,4207.54566893,4037.42631196,3732.24914068,3427.0719694
5332840,815.4721272,903.54145492,292,815.4721272,3614.16581968,4429.63794688,1630.9442544,2710.62436476,4341.56861916,2446.4163816,1807.08290984,4253.49929144,3261.8885088,903.54145492,4165.42996372,3526.09649196,3438.0271642400003,3349.95783652
6155799,878.54185601,1058.13274171,293,878.54185601,4232.53096684,5111.072822849999,1757.08371202,3174.3982251299994,4931.48193715,2635.62556803,2116.26548342,4751.89105145,3514.16742404,1058.13274171,4572.30016575,4052.940081139999,3873.3491954399997,3693.75830974
1196309,666.42457583,1149.35408267,294,666.42457583,4597.41633068,5263.84090651,1332.84915166,3448.06224801,4780.91139967,1999.27372749,2298.70816534,4297.98189283,2665.69830332,1149.35408267,3815.05238599,4114.48682384,3631.557317,3148.62781016
1150625,664.15301666,1351.80877311,295,664.15301666,5407.23509244,6071.3881091,1328.30603332,4055.42631933,5383.73235265,1992.4590499800001,2703.61754622,4696.0765962000005,2656.61206664,1351.80877311,4008.42083975,4719.57933599,4031.92357954,3344.26782309
5028463,800.9826531,1125.67476886,296,800.9826531,4502.69907544,5303.68172854,1601.9653062,3377.0243065800005,4978.98961278,2402.9479593,2251.34953772,4654.29749702,3203.9306124,1125.67476886,4329.60538126,4178.00695968,3853.3148439200004,3528.6227281600004
767084,632.39353224,799.14970896,297,632.39353224,3196.59883584,3828.9923680800002,1264.78706448,2397.44912688,3662.2361913600002,1897.18059672,1598.29941792,3495.4800146400003,2529.57412896,799.14970896,3328.72383792,3029.8426591200005,2863.0864824,2696.33030568
938150,650.91079465,866.19608207,298,650.91079465,3464.78432828,4115.69512293,1301.8215893,2598.58824621,3900.4098355099995,1952.73238395,1732.39216414,3685.1245480899997,2603.6431786,866.19608207,3469.83926067,3249.4990408599997,3034.21375344,2818.92846602
745938,631.39546816,890.53330393,299,631.39546816,3562.13321572,4193.52868388,1262.79093632,2671.59991179,3934.3908481099998,1894.18640448,1781.06660786,3675.25301234,2525.58187264,890.53330393,3416.1151765699997,3302.99537995,3043.85754418,2784.71970841
1446828,677.40804467,884.86905849,300,677.40804467,3539.47623396,4216.88427863,1354.81608934,2654.60717547,4009.42326481,2032.22413401,1769.73811698,3801.96225099,2709.63217868,884.86905849,3594.50123717,3332.01522014,3124.55420632,2917.0931925
6062748,870.4938914,965.32293663,301,870.4938914,3861.29174652,4731.78563792,1740.9877828,2895.9688098899996,4636.9565926899995,2611.4816742000003,1930.64587326,4542.127547460001,3481.9755656,965.32293663,4447.29850223,3766.4627012899996,3671.6336560600002,3576.8046108300005
1753394,696.42688512,799.14970896,302,696.42688512,3196.59883584,3893.02572096,1392.85377024,2397.44912688,3790.30289712,2089.28065536,1598.29941792,3687.58007328,2785.70754048,799.14970896,3584.8572494399996,3093.876012,2991.15318816,2888.43036432
76357,524.31704899,1084.64851673,303,524.31704899,4338.59406692,4862.91111591,1048.63409798,3253.94555019,4302.57964817,1572.95114697,2169.29703346,3742.24818043,2097.26819596,1084.64851673,3181.91671269,3778.26259918,3217.93113144,2657.5996637
297530,556.35900344,1267.7544957,304,556.35900344,5071.0179828,5627.37698624,1112.71800688,3803.2634871,4915.98149398,1669.0770103200002,2535.5089914,4204.58600172,2225.43601376,1267.7544957,3493.19050946,4359.62249054,3648.22699828,2936.8315060200002
3456924,758.05082682,1031.62665169,305,758.05082682,4126.50660676,4884.55743358,1516.10165364,3094.87995507,4610.98160871,2274.15248046,2063.25330338,4337.40578384,3032.20330728,1031.62665169,4063.82995897,3852.93078189,3579.3549570200003,3305.77913215
6353931,895.52979331,1201.74993266,306,895.52979331,4806.99973064,5702.52952395,1791.05958662,3605.24979798,5396.3093846,2686.5893799299997,2403.49986532,5090.089245249999,3582.11917324,1201.74993266,4783.869105899999,4500.77959129,4194.55945194,3888.3393125899997
4280836,787.72500908,1186.72644752,307,787.72500908,4746.90579008,5534.63079916,1575.45001816,3560.17934256,5135.62936072,2363.17502724,2373.45289504,4736.62792228,3150.90003632,1186.72644752,4337.62648384,4347.90435164,3948.9029131999996,3549.90147476
3565919,761.78880711,978.57202064,308,761.78880711,3914.28808256,4676.07688967,1523.57761422,2935.71606192,4459.29367614,2285.36642133,1957.14404128,4242.51046261,3047.15522844,978.57202064,4025.72724908,3697.50486903,3480.7216555,3263.93844197
3698847,766.47052946,1182.03827616,309,766.47052946,4728.15310464,5494.623634099999,1532.94105892,3546.1148284799997,5079.0558874,2299.41158838,2364.07655232,4663.488140699999,3065.88211784,1182.03827616,4247.920394,4312.58535794,3897.0176112399995,3481.44986454
2701418,730.44140272,868.48787124,310,730.44140272,3473.95148496,4204.39288768,1460.88280544,2605.46361372,4066.34641916,2191.32420816,1736.97574248,3928.29995064,2921.76561088,868.48787124,3790.25348212,3335.90501644,3197.85854792,3059.8120794
6630968,925.5636366,1031.29272266,311,925.5636366,4125.17089064,5050.73452724,1851.1272732,3093.87816798,4945.00544118,2776.6909098,2062.58544532,4839.2763551200005,3702.2545464,1031.29272266,4733.54726906,4019.44180458,3913.7127185199997,3807.98363246
2953049,740.51575348,844.2561774,312,740.51575348,3377.0247096,4117.540463079999,1481.03150696,2532.7685321999998,4013.80003916,2221.5472604399997,1688.5123548,3910.0596152399994,2962.06301392,844.2561774,3806.31919132,3273.28428568,3169.54386176,3065.80343784
7068646,997.93548112,1135.67698062,313,997.93548112,4542.70792248,5540.6434036,1995.87096224,3407.03094186,5402.9019041,2993.80644336,2271.35396124,5265.160404599999,3991.74192448,1135.67698062,5127.418905099999,4404.96642298,4267.22492348,4129.48342398
2615855,726.44525141,1030.95842364,314,726.44525141,4123.83369456,4850.278945970001,1452.89050282,3092.8752709200003,4545.76577374,2179.33575423,2061.91684728,4241.25260151,2905.78100564,1030.95842364,3936.73942928,3819.32052233,3514.8073501,3210.29417787
6173679,879.86437511,1198.72451443,315,879.86437511,4794.89805772,5674.76243283,1759.72875022,3596.17354329,5355.90229351,2639.59312533,2397.44902886,5037.04215419,3519.45750044,1198.72451443,4718.18201487,4476.0379184,4157.17777908,3838.31763976
172176,537.35610799,1183.36964026,316,537.35610799,4733.47856104,5270.83466903,1074.71221598,3550.1089207800005,4624.821136760001,1612.0683239700002,2366.73928052,3978.8076044900004,2149.42443196,1183.36964026,3332.79407222,4087.4650287700006,3441.4514965000003,2795.43796423
5966165,862.26614277,869.86496635,317,862.26614277,3479.4598654,4341.726008170001,1724.53228554,2609.59489905,4334.12718459,2586.79842831,1739.7299327,4326.52836101,3449.06457108,869.86496635,4318.92953743,3471.86104182,3464.26221824,3456.66339466
2519279,723.43894818,1065.62485128,318,723.43894818,4262.49940512,4985.9383533,1446.87789636,3196.87455384,4643.7524502,2170.31684454,2131.24970256,4301.5665471,2893.75579272,1065.62485128,3959.380644,3920.3135020199998,3578.1275989200003,3235.94169582
1948448,702.81759961,970.08117199,319,702.81759961,3880.32468796,4583.14228757,1405.63519922,2910.24351597,4315.87871519,2108.45279883,1940.16234398,4048.61514281,2811.27039844,970.08117199,3781.35157043,3613.0611155799998,3345.7975432000003,3078.53397082
591788,601.37494387,935.89531739,320,601.37494387,3743.58126956,4344.9562134299995,1202.74988774,2807.68595217,4010.43583991,1804.12483161,1871.79063478,3675.91546639,2405.49977548,935.89531739,3341.39509287,3409.06089604,3074.54052252,2740.020149
