m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
835.5551800000001	854.1577466666666	763711.11	350864.56	142.17855	2753	3121.884277	1393404.625	4	834.88239	854.49221	3	3	ffc_line
827.94448	862.0953466666667	19852.439	17909.216	109.92805	11568	3149.47583	4422.162109	4	827.28016	862.095345	3	3	ffc_line
833.3477133333333	854.35838	78995.664	66203.88	124.91166	6079	14102.454102	12358.855469	4	833.682151	855.698804	3	3	ffc_line
838.9477800000001	849.7651133333333	62426.264	52337.834	134.39953	3925	32393.841797	3068.25293	4	839.282248	850.09957	3	3	ffc_line
830.1474133333334	859.9032800000001	20898.839	20210.355	108.21864	12423	3674.212158	5062.668945	4	829.479421	859.903272	3	3	ffc_line
842.16298	845.5526133333334	62811.881	52798.006	118.69869	7980	2895.499023	45962.65625	4	843.501471	845.887051	3	3	ffc_line
729.17273	907.28513	49042.842	46539.581	150.28129	1892	9060.424805	5353.189453	5	729.172725	907.535961	2	4	ffc_line
842.58568	851.087755	733346.34	236863.59	115.83171	9024	11258.947266	284182.84375	5	842.092708	851.087763	2	4	ffc_line
683.20308	930.033005	14905.085	13800.368	129.82335	4889	2932.166504	4879.856934	5	683.203097	930.534678	2	4	ffc_line
812.8734800000001	865.200505	54591.621	48616.057	127.13776	5485	8096.979004	8438.897461	5	812.873465	865.702174	2	4	ffc_line
842.2842300000001	849.25203	36807.189	34514.096	110.19855	11418	16912.568359	3259.275635	5	843.287777	850.501242	2	4	ffc_line
845.68803	849.0519800000001	46812.635	44321.733	141.99607	2784	13391.432617	3605.65625	5	845.696579	849.302831	2	4	ffc_line
821.4808800000001	859.663055	26004.004	22641.305	117.14464	8518	12860.407227	2514.286133	5	821.979751	861.167523	2	4	ffc_line
793.72388	875.050505	170918.79	117592.06	136.73038	3525	100787.984375	4608.193848	5	793.723885	875.301332	2	4	ffc_line
715.3766800000001	867.90182	19714.265	17819.764	131.64209	4506	2834.179688	10765.90918	6	715.376664	867.501271	1	5	ffc_line
833.48278	844.07968	40164.028	36454.874	118.628	8006	9529.475586	4433.80957	6	834.484708	843.679938	1	5	ffc_line
