Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,bi(6-10)-2(NH3)-(HCOH)(2+),299.89,464.85,a5-2(NH3)(1+),3656.801979573952,348.9112688264749,0.632
,bi(6-10)-(NH3)-(HCOOH)(2+),299.89,464.85,a5-2(NH3)(1+),3656.801979573952,348.9112688264749,0.636
,y6-(HCOH)-(HCOH)(2+),299.89,464.85,a5-2(NH3)(1+),3656.801979573952,348.9112688264749,0.648
,b3(1+),299.89,464.85,bi(4-7)-2(NH3)(1+),3656.801979573952,348.9112688264749,0.658
57,ai(9-10)(1+),249.09,659.36,y6(1+),4132.80073886801,347.87138215481747,0.071
,b5-(HCOH)(2+),249.09,659.36,y6(1+),4132.80073886801,347.87138215481747,0.43
,a5(2+),249.09,659.36,y6(1+),4132.80073886801,347.87138215481747,0.58
58,b4-2(H2O)-(HCOOH)(1+),330.74,613.92,bi(5-9)-(H2O)-(HCOH)(1+),5178.3334568450555,346.73345739855085,0.611
,y3(1+),330.74,613.92,a11-(HCOH)-(HCOH)(2+),5178.3334568450555,346.73345739855085,0.623
,y3(1+),330.74,613.92,ai(3-13)-(HCOOH)-(HCOH)(2+),5178.3334568450555,346.73345739855085,0.623
,b4-2(H2O)-(HCOOH)(1+),330.74,613.92,bi(5-15)-(HCOH)-(HCOH)(2+),5178.3334568450555,346.73345739855085,0.624
,y6(2+),330.74,613.92,bi(6-10)-(H2O)-(HCOH)(1+),5178.3334568450555,346.73345739855085,0.674
,y3(1+),330.74,613.92,a6(1+),5178.3334568450555,346.73345739855085,0.732
,b4-2(H2O)-(HCOOH)(1+),330.74,613.92,ai(5-15)-2(NH3)(2+),5178.3334568450555,346.73345739855085,0.77
,y6(2+),330.74,613.92,a6(1+),5178.3334568450555,346.73345739855085,0.792
59,y6-(NH3)(1+),642.22,986.11,bi(3-10)-(NH3)(1+),2619.6913374437263,346.64928488815343,0.402
,y6-(NH3)(1+),642.22,986.11,b9-(HN=C=NH)-(HCOOH)(1+),2619.6913374437263,346.64928488815343,0.44
,y6-(NH3)(1+),642.22,986.11,bi(3-10)-(H2O)(1+),2619.6913374437263,346.64928488815343,0.614
60,bi(2-7)-2(H2O)-(HCOH)(2+),330.72,984.84,y9-2(NH3)-(HCOH)(1+),1719.7655219660999,345.3649466031997,0.66
61,,413.26,610.13,,4592.4010096755355,344.9316107355421,
62,,495.91,1331.77,,6397.904723621945,344.8689525181947,
63,y5(1+),531.22,1074.28,b9(1+),12795.28302517925,344.3867949600861,0.294
,y5(1+),531.22,1074.28,ai(3-11)-(HCOH)(1+),12795.28302517925,344.3867949600861,0.716
64,,831.19,1141.28,,4526.220872497049,344.01581148244804,
65,,946.2,1332.4,,1460.050044331674,341.84778976855176,
66,y3-(H2O)(1+),312.98,1314.78,a12-(HCOH)-(HCOH)(1+),4077.320182589344,341.66818696628945,0.221
,y3-(H2O)(1+),312.98,1314.78,bi(3-13)-(NH3)(1+),4077.320182589344,341.66818696628945,0.237
67,ai(8-13)-(HCOH)(1+),662.03,727.01,a7-(HN=C=NH)(1+),3423.3732458928234,341.1904529333493,0.791
68,,600.46,1085.61,,2661.553386217368,341.02240659032725,
69,,717.3,737.26,,3650.4623045829812,340.6844024803004,
70,y3(1+),330.89,1297.21,bi(3-13)-2(NH3)(1+),2933.222930766107,340.34055301085345,0.53
,y3(1+),330.89,1297.21,b11-(H2O)(1+),2933.222930766107,340.34055301085345,0.571
71,y6-(HCOH)-(HCOH)(2+),299.79,903.02,ai(3-10)-(HN=C=NH)-(HCOH)(1+),6575.17297824533,340.28757010400807,0.611
72,ai(8-11)-2(NH3)(2+),228.84,717.59,b7-2(NH3)-(HCOOH)(1+),20343.156632046484,338.8909866611781,0.336
,bi(3-4)(1+),228.84,717.59,y12(2+),20343.156632046484,338.8909866611781,0.344
,ai(8-11)-2(H2O)(2+),228.84,717.59,b7-2(NH3)-(HCOOH)(1+),20343.156632046484,338.8909866611781,0.747
,bi(8-11)-2(NH3)-(HCOH)(2+),228.84,717.59,b7-2(NH3)-(HCOOH)(1+),20343.156632046484,338.8909866611781,0.767
73,,488.47,961.4,,2505.5478436600356,338.2701633110255,
74,y3(1+),331.05,408.21,bi(10-13)-2(NH3)(1+),3832.7517529367037,338.140010771045,0.15
,y3(1+),331.05,408.21,bi(7-13)-(HCOH)-(HCOH)(2+),3832.7517529367037,338.140010771045,0.151
,b4-2(H2O)-(HCOOH)(1+),331.05,408.21,ai(5-8)-(NH3)-(HCOOH)(1+),3832.7517529367037,338.140010771045,0.161
,b4-2(H2O)-(HCOOH)(1+),331.05,408.21,ai(5-11)-(HCOH)-(HCOH)(2+),3832.7517529367037,338.140010771045,0.161
,b4-2(H2O)-(HCOOH)(1+),331.05,408.21,y4-2(H2O)(1+),3832.7517529367037,338.140010771045,0.168
,ai(7-12)-(HN=C=NH)-(HCOH)(2+),331.05,408.21,y4-2(H2O)(1+),3832.7517529367037,338.140010771045,0.632
75,b5-(NH3)-(HCOOH)(1+),463.07,773.84,ai(6-12)-(HCOOH)-(HCOH)(1+),4518.037855232424,337.5674539068406,0.492
,b5-(NH3)-(HCOOH)(1+),463.07,773.84,bi(6-11)-(NH3)(1+),4518.037855232424,337.5674539068406,0.528
76,,831.16,1205.88,,5655.184419792103,337.5144691207119,
77,y6-2(NH3)(2+),312.85,1047.14,ai(2-10)-(HN=C=NH)(1+),3877.5641164155395,337.022835926806,0.64
,y6-2(NH3)(2+),312.85,1047.14,a9(1+),3877.5641164155395,337.022835926806,0.658
,y3-(H2O)(1+),312.85,1047.14,a9(1+),3877.5641164155395,337.022835926806,0.672
78,y2-(H2O)(1+),216.25,412.75,b4(1+),2846.9012415260113,333.99239883502423,0.504
,y2-(H2O)(1+),216.25,412.75,b8-(HN=C=NH)-(HCOOH)(2+),2846.9012415260113,333.99239883502423,0.524
79,ai(8-13)-(HCOH)(1+),660.65,733.4,b7-2(NH3)-(HCOH)(1+),3494.979971498655,333.8938514736856,0.71
,ai(8-13)-(HCOH)(1+),660.65,733.4,a7-2(H2O)(1+),3494.979971498655,333.8938514736856,0.711
,ai(8-13)-(HCOH)(1+),660.65,733.4,b7-(H2O)-(HCOOH)(1+),3494.979971498655,333.8938514736856,0.711
80,ai(6-9)-2(NH3)-(HCOH)(2+),229.03,498.77,a5(1+),2571.9675685773236,333.45725940607866,0.454
,ai(6-9)-(H2O)-(HCOOH)(2+),229.03,498.77,a5(1+),2571.9675685773236,333.45725940607866,0.459
,ai(6-9)-(NH3)-(HCOOH)(2+),229.03,498.77,a5(1+),2571.9675685773236,333.45725940607866,0.734
81,bi(2-8)-(H2O)(1+),822.56,870.95,y8-2(NH3)-(HCOH)(1+),3045.2081608132366,332.7729766564059,0.522
82,,659.03,1385.56,,2431.793792169192,332.49713350504527,
83,b5-(NH3)-(HCOH)(1+),479.4,1103.26,bi(6-15)-(HN=C=NH)-(HCOH)(1+),3301.9850612155356,331.8807869178938,0.718
84,b4-2(H2O)-(HCOOH)(1+),331.17,1200.1,ai(5-15)-(HCOH)-(HCOH)(1+),5797.679292187291,331.7924582017301,0.452
,y3(1+),331.17,1200.1,bi(4-13)-(NH3)(1+),5797.679292187291,331.7924582017301,0.461
,b4-2(H2O)-(HCOOH)(1+),331.17,1200.1,bi(5-14)(1+),5797.679292187291,331.7924582017301,0.541
85,,716.95,747.66,,3922.69967878007,331.1806032167784,
86,,773.77,973.19,,5562.269872463104,331.01765903257456,
87,,1200.53,1217.51,,2883.04451913387,330.54191110600107,
88,,717.63,1191.49,,3996.249639392752,328.8263335740176,
89,y5(1+),530.99,911.13,b8(1+),7577.997018229034,327.04738113197175,0.489
,a6-2(H2O)-(HCOOH)(1+),530.99,911.13,ai(7-14)-2(NH3)(1+),7577.997018229034,327.04738113197175,0.738
,ai(9-13)-(NH3)-(HCOH)(1+),530.99,911.13,b8(1+),7577.997018229034,327.04738113197175,0.792
90,,609.26,1315.42,,2202.316142022829,326.66611241582126,
91,,603.09,805.75,,2587.0828461880533,325.62134695354615,
92,,831.76,1296.43,,3866.4881181590445,325.3945906713503,
93,,412.96,891.32,,2681.621898597139,325.16557810123305,
94,ai(9-11)-2(H2O)-(HCOH)(1+),311.11,822.87,b8-(HN=C=NH)-(HCOOH)(1+),6148.246732408984,324.5569964665998,0.604
95,,600.79,635.01,,2919.64459148399,324.2805148293251,
96,,831.03,1039.24,,3095.796409461421,323.86557438000864,
97,,831.51,1001.22,,3992.7791976573108,323.7321384932907,
98,a4-(HCOH)(1+),355.38,831.55,bi(5-11)-(HN=C=NH)-(HCOH)(1+),3439.060889819423,323.20627151236556,0.186
,y7-2(NH3)-(HCOH)(2+),355.38,831.55,b8-2(NH3)-(HCOOH)(1+),3439.060889819423,323.20627151236556,0.689
99,y6(1+),659.16,1003.18,bi(3-10)(1+),7375.343569192746,322.7011636157737,0.4
,y6(1+),659.16,1003.18,b9-(HN=C=NH)-(HCOH)(1+),7375.343569192746,322.7011636157737,0.683
100,b8-2(NH3)(2+),438.93,642.34,y6-(NH3)(1+),2419.745295576955,322.3466479028029,0.29
,b8-2(NH3)(2+),438.93,642.34,bi(9-14)-(HCOH)-(HCOH)(1+),2419.745295576955,322.3466479028029,0.291
,b8-2(H2O)(2+),438.93,642.34,y6-(NH3)(1+),2419.745295576955,322.3466479028029,0.69
,b8-2(H2O)(2+),438.93,642.34,bi(9-14)-(HCOH)-(HCOH)(1+),2419.745295576955,322.3466479028029,0.69
101,bi(4-7)(2+),249.76,299.71,b3(1+),2633.0052339870263,322.3118696430498,0.461
,ai(4-6)-2(NH3)-(HCOH)(1+),249.76,299.71,b3(1+),2633.0052339870263,322.3118696430498,0.589
,ai(4-6)-(H2O)-(HCOOH)(1+),249.76,299.71,b3(1+),2633.0052339870263,322.3118696430498,0.622
,ai(9-10)(1+),249.76,299.71,y6-(HCOH)-(HCOH)(2+),2633.0052339870263,322.3118696430498,0.762
,y5-2(NH3)(2+),249.76,299.71,b3(1+),2633.0052339870263,322.3118696430498,0.774
102,,413.16,877.36,,2671.5634922967115,321.87643464588837,
