Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
38,ai(4-9)-(HN=C=NH)-(HCOOH)(1+),659.63,708.41,y7-2(NH3)-(HCOH)(1+),82.73117575997043,276.9269019400282,0.251
39,,702.1,1187.41,,55.19927520264063,275.26347467513574,
40,y3(1+),331.03,1331.65,bi(3-13)(1+),32.4881253318867,274.812937896049,0.177
41,b3(1+),299.9,708.87,y12-(NH3)(2+),48.79597257206292,270.7251519929059,0.26
,ai(5-9)-2(H2O)(2+),299.9,708.87,y7-2(NH3)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.537
,bi(5-9)-(H2O)-(HCOOH)(2+),299.9,708.87,y7-2(NH3)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.537
,bi(5-9)-(NH3)-(HCOOH)(2+),299.9,708.87,y7-2(NH3)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.541
,b3(1+),299.9,708.87,y7-2(NH3)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.546
,bi(5-9)-2(NH3)-(HCOH)(2+),299.9,708.87,y7-2(NH3)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.546
,b3(1+),299.9,708.87,y12-(H2O)(2+),48.79597257206292,270.7251519929059,0.546
,b3(1+),299.9,708.87,bi(4-9)-2(H2O)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.572
,y6-(HCOH)-(HCOH)(2+),299.9,708.87,bi(5-10)-2(H2O)-(HCOH)(1+),48.79597257206292,270.7251519929059,0.582
,y6-(HCOH)-(HCOH)(2+),299.9,708.87,b7-(HN=C=NH)-(HCOOH)(1+),48.79597257206292,270.7251519929059,0.617
42,a3-(NH3)-(HCOH)(1+),224.81,717.38,y12(2+),56.281217758732055,269.94555200597785,0.31
,a3-(NH3)-(HCOH)(1+),224.81,717.38,ai(4-9)-(HCOH)(1+),56.281217758732055,269.94555200597785,0.311
,a3-(H2O)-(HCOH)(1+),224.81,717.38,y12(2+),56.281217758732055,269.94555200597785,0.68
,a3-(H2O)-(HCOH)(1+),224.81,717.38,ai(4-9)-(HCOH)(1+),56.281217758732055,269.94555200597785,0.68
43,ai(3-10)-2(NH3)-(HCOH)(2+),456.13,659.13,y6(1+),111.4551755605613,269.7451761318499,0.26
,b8(2+),456.13,659.13,y6(1+),111.4551755605613,269.7451761318499,0.268
