Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,b3-(H20)-(NH3)(1+),193.53,550.08,y6-(HCOH)(1+),5085.231409648298,421.7128270166929,0.563
,bi(7-8)-2(NH3)(1+),193.53,550.08,y6-(HCOH)(1+),5085.231409648298,421.7128270166929,0.591
,a5-(H2O)-(HCOH)(2+),193.53,550.08,y6-(HCOH)(1+),5085.231409648298,421.7128270166929,0.591
,b3-(H20)-(NH3)(1+),193.53,550.08,y11(2+),5085.231409648298,421.7128270166929,0.609
40,,402.58,504.37,,14736.363446353018,406.218672710634,
41,b4(2+),188.1,934.47,y10-(NH3)(1+),774.5522999479996,400.1967969711491,0.48
,y4(2+),188.1,934.47,b10-(NH3)(1+),774.5522999479996,400.1967969711491,0.502
42,ai(5-9)-(H2O)-(HCOH)(2+),176.6,375.98,b4(1+),3848.9266418444367,393.4573209033324,0.531
,ai(9-10)(1+),176.6,375.98,y4(1+),3848.9266418444367,393.4573209033324,0.542
43,y4-2(H2O)-(HCOH)(1+),310.27,690.44,b7(1+),1610.6004588716326,389.078867160469,0.156
,y7-(H2O)(2+),310.27,690.44,b7(1+),1610.6004588716326,389.078867160469,0.163
,bi(8-12)-2(H2O)-(HCOH)(1+),310.27,690.44,b7(1+),1610.6004588716326,389.078867160469,0.178
,b4-2(H2O)-(HCOH)(1+),310.27,690.44,bi(5-12)(1+),1610.6004588716326,389.078867160469,0.178
,y7-(NH3)(2+),310.27,690.44,b7(1+),1610.6004588716326,389.078867160469,0.386
44,y8-(HCOH)(2+),388.96,461.47,a6-(HCOH)(1+),3471.12930498239,386.09082442702163,0.772
,y8-(CH3NH2)(2+),388.96,461.47,a6-(HCOH)(1+),3471.12930498239,386.09082442702163,0.778
45,y1(1+),174.7,567.84,b13-(H2O)(2+),699.2518970931178,382.24230852274496,0.428
,a4(2+),174.7,567.84,bi(5-11)-2(H2O)-(HCOH)(1+),699.2518970931178,382.24230852274496,0.573
,y1(1+),174.7,567.84,b13-(NH3)(2+),699.2518970931178,382.24230852274496,0.587
,y1(1+),174.7,567.84,bi(7-13)-2(H2O)-(HCOH)(1+),699.2518970931178,382.24230852274496,0.7
46,a4-2(NH3)(1+),314.32,637.17,y7(1+),3670.12805589763,376.5398359642902,0.252
,a7-2(NH3)(2+),314.32,637.17,y7(1+),3670.12805589763,376.5398359642902,0.349
,a7-2(H2O)(2+),314.32,637.17,y7(1+),3670.12805589763,376.5398359642902,0.675
,b7-2(NH3)-(HCOH)(2+),314.32,637.17,y7(1+),3670.12805589763,376.5398359642902,0.694
47,bi(4-9)-(HCOH)(2+),273.97,504.69,y5-(H2O)(1+),1466.85765313241,373.3836643231213,0.65
48,b9-2(NH3)-(HCOH)(2+),370.46,523.56,y5(1+),2792.9126035912927,366.406447689737,0.361
,a9-2(H2O)(2+),370.46,523.56,y5(1+),2792.9126035912927,366.406447689737,0.372
,ai(5-9)-(CH3NH2)(1+),370.46,523.56,y5(1+),2792.9126035912927,366.406447689737,0.41
,a5-2(NH3)-(HCOH)(1+),370.46,523.56,y5(1+),2792.9126035912927,366.406447689737,0.734
49,a3-2(H2O)(1+),165.32,549.8,y11(2+),4532.841786653662,366.34478649490325,0.251
,b4-(NH3)-(HCOH)(2+),165.32,549.8,y6-(HCOH)(1+),4532.841786653662,366.34478649490325,0.532
,a3-2(H2O)(1+),165.32,549.8,y6-(HCOH)(1+),4532.841786653662,366.34478649490325,0.532
,a4-(H2O)(2+),165.32,549.8,y6-(HCOH)(1+),4532.841786653662,366.34478649490325,0.537
,a3-(H20)-(NH3)(1+),165.32,549.8,y11(2+),4532.841786653662,366.34478649490325,0.74
50,,131.57,589.36,,539.0509321990813,362.3136379170907,
51,y2-2(NH3)(1+),228.23,540.93,ai(6-12)-2(NH3)(1+),6090.21860657459,361.7024405749797,0.345
,b6-2(NH3)-(HCOH)(2+),228.23,540.93,ai(7-13)-2(NH3)-(HCOH)(1+),6090.21860657459,361.7024405749797,0.474
,a6-2(H2O)(2+),228.23,540.93,ai(7-13)-2(NH3)-(HCOH)(1+),6090.21860657459,361.7024405749797,0.489
,b6-2(H2O)-(HCOH)(2+),228.23,540.93,ai(7-13)-2(NH3)-(HCOH)(1+),6090.21860657459,361.7024405749797,0.707
52,ai(3-4)(1+),233.73,476.36,y10(2+),10485.821343255759,361.3675629487368,0.408
53,,154.7,578.75,,763.7808111229074,352.27418759436495,
54,bi(4-5)-(HCOH)(1+),204.77,804.49,y9-(HCOH)-(HCOH)(1+),1451.1643078588122,332.71031823898323,0.337
,bi(10-11)(1+),204.77,804.49,b9(1+),1451.1643078588122,332.71031823898323,0.348
,ai(10-12)-(HCOH)(1+),204.77,804.49,b9(1+),1451.1643078588122,332.71031823898323,0.669
55,,504.64,533.73,,4090.635272182559,321.52219581304894,
56,,412.4,804.05,,4990.476658999047,318.72046496931415,
57,b4(1+),375.92,730.6,bi(5-13)-(NH3)-(HCOH)(1+),3518.729602276616,315.78420636715083,0.361
,bi(9-13)-(HCOH)(1+),375.92,730.6,b8-(NH3)(1+),3518.729602276616,315.78420636715083,0.361
,y4(1+),375.92,730.6,b8-(NH3)(1+),3518.729602276616,315.78420636715083,0.382
,b4(1+),375.92,730.6,ai(5-13)-(H2O)(1+),3518.729602276616,315.78420636715083,0.787
58,y6-(H2O)(2+),281.83,747.8,b8(1+),1094.7129024624057,311.20985661974464,0.488
,a4-2(H2O)-(HCOH)(1+),281.83,747.8,y8-(HCOH)-(HCOH)(1+),1094.7129024624057,311.20985661974464,0.5
,a4-2(H2O)-(HCOH)(1+),281.83,747.8,bi(5-13)-(HCOH)(1+),1094.7129024624057,311.20985661974464,0.541
,y6-(NH3)(2+),281.83,747.8,b8(1+),1094.7129024624057,311.20985661974464,0.541
59,y3-(H2O)(1+),300.89,504.97,b11(2+),3262.104003830944,305.41939361398147,0.355
,a4-(NH3)-(HCOH)(1+),300.89,504.97,y5-(H2O)(1+),3262.104003830944,305.41939361398147,0.362
,a7-(CH3NH2)-(HCOH)(2+),300.89,504.97,y5-(H2O)(1+),3262.104003830944,305.41939361398147,0.375
,ai(3-9)-(CH3NH2)-(HCOH)(2+),300.89,504.97,y5-(H2O)(1+),3262.104003830944,305.41939361398147,0.375
60,b7-(HCOH)(2+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.13
,bi(3-9)-(HCOH)(2+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.13
,ai(2-9)-(HCOH)-(HCOH)(2+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.497
,a8-(HCOH)-(HCOH)(2+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.497
,a4-(NH3)(1+),330.65,476.36,y10(2+),13558.240566123988,305.096246009795,0.504
,a4-(NH3)(1+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.507
,a4-(H2O)(1+),330.65,476.36,y10(2+),13558.240566123988,305.096246009795,0.514
,b7-(CH3NH2)(2+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.517
,bi(3-9)-(CH3NH2)(2+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.517
,a4-(H2O)(1+),330.65,476.36,y5-(NH3)-(HCOH)(1+),13558.240566123988,305.096246009795,0.517
