col0	col1	col2	col3	col4	col5	THEO_MONO_MZ_1	THEO_MONO_MASS_1	THEO_INTE_SUM_1	THEO_CHARGE_1	THEO_MONO_MZ_2	THEO_MONO_MASS_2	THEO_INTE_SUM_2	THEO_CHARGE_2
726.770015	910.218868	24006.153	-4306.4112	-8.5145954	1004829	726.7699176	3628.81320567	45374477.54665967	5.0	909.79904442	17267.04359113	44225867.51378696	19.0
726.770015	910.496619	219257.52	132281.16	51.750779	380657	726.7699176	3628.81320567	45374477.54665967	5.0	910.21701767	16365.7753416	393655879.15483874	18.0
726.770015	911.194842	-38833.609	-57002.515	-60.250583	1460186	726.7699176	3628.81320567	45374477.54665967	5.0	910.68953508	10916.1871034	46774238.62696134	12.0
726.770015	911.3298	-64757.636	-142889.26	-58.253675	1445939	726.7699176	3628.81320567	45374477.54665967	5.0	911.16229406	16382.7903166	1776858430.3592916	18.0
726.770015	912.386411	48269.085	28564.275	17.896637	713900	726.7699176	3628.81320567	45374477.54665967	5.0	911.99532006	16397.7847846	57969536.57319424	18.0
726.770015	913.206315	70455.362	35838.468	21.925699	671188	726.7699176	3628.81320567	45374477.54665967	5.0	912.73359571	15499.34742706	44159841.40474362	17.0
726.770015	913.493021	172206.53	142990.99	73.319779	218102	726.7699176	3628.81320567	45374477.54665967	5.0	913.15515783	5472.8872882	41449964.67990489	6.0
726.770015	913.856026	-47923.161	-66195.601	-49.593016	1381055	726.7699176	3628.81320567	45374477.54665967	5.0	913.56947686	6387.93540273	30052036.63974782	7.0
726.770015	913.909924	-152620.82	-174928.4	-138.37181	1802260	726.7699176	3628.81320567	45374477.54665967	5.0	913.67343024	15515.32461406	228164849.97397155	17.0
726.770015	914.614688	10966.709	-10636.211	-4.5305627	963262	726.7699176	3628.81320567	45374477.54665967	5.0	914.14153163	17349.55084813	62107053.84667701	19.0
726.770015	914.999048	18725.095	-15700.948	-9.3200526	1013157	726.7699176	3628.81320567	45374477.54665967	5.0	914.497604	1826.98065507	30851642.15509863	2.0
726.770015	915.192486	254138.65	226634.92	130.24442	24838	726.7699176	3628.81320567	45374477.54665967	5.0	914.69137581	14618.94558953	43304229.63766906	16.0
726.770015	915.610528	-89403.537	-110414.91	-95.604824	1661705	726.7699176	3628.81320567	45374477.54665967	5.0	915.10920639	16453.8347386	28345393.27450744	18.0
726.770015	915.667852	6247.9428	-27500.195	-18.517787	1105575	726.7699176	3628.81320567	45374477.54665967	5.0	915.33091575	10971.8836714	64131882.32639065	12.0
726.770015	916.441023	85912.398	71889.401	55.796257	346460	726.7699176	3628.81320567	45374477.54665967	5.0	915.96917012	15554.35219206	27955641.10995118	17.0
726.770015	916.612448	165329.61	149707.24	101.01893	86430	726.7699176	3628.81320567	45374477.54665967	5.0	916.13886421	17387.50016713	41147599.7838774	19.0
726.770015	916.890026	1731.9627	-21097.471	-10.858757	1028824	726.7699176	3628.81320567	45374477.54665967	5.0	916.43981956	8238.8928878	42548564.280081	9.0
726.770015	916.946888	181852.2	147298.59	80.161809	177844	726.7699176	3628.81320567	45374477.54665967	5.0	916.612593	2746.8159496	31006042.58180224	3.0
726.770015	917.61219	-47905.161	-99163.123	-53.289574	1409474	726.7699176	3628.81320567	45374477.54665967	5.0	917.33023506	16493.8132546	240877208.6885682	18.0
726.770015	918.333194	97684.397	73930.193	52.568747	373598	726.7699176	3628.81320567	45374477.54665967	5.0	917.8318616	18336.49170266	35056171.00872766	20.0
726.770015	918.49781	26037.551	-5783.5356	-2.7137525	944068	726.7699176	3628.81320567	45374477.54665967	5.0	918.27593344	16510.8358256	331041042.5430232	18.0
726.770015	919.330256	-167747.62	-196236.45	-124.00173	1765400	726.7699176	3628.81320567	45374477.54665967	5.0	918.99811944	16523.8351736	136726608.0229716	18.0
726.770015	919.856903	21222.234	604.38777	1.6606645	887162	726.7699176	3628.81320567	45374477.54665967	5.0	919.50002235	15614.37668006	173344391.0405232	17.0
726.770015	920.358223	25510.107	8217.7128	5.4513642	846867	726.7699176	3628.81320567	45374477.54665967	5.0	919.9530762	4594.72899867	34652739.51575962	5.0
726.770015	920.833374	-56258.409	-90810.637	-51.890122	1398755	726.7699176	3628.81320567	45374477.54665967	5.0	920.55472628	16551.8540966	268851961.98620325	18.0
726.770015	921.612279	107973.31	75585.478	40.918108	479426	726.7699176	3628.81320567	45374477.54665967	5.0	921.49955939	16568.8610926	1210648303.8274555	18.0
726.770015	921.807956	93401.1	75603.176	63.367882	286588	726.7699176	3628.81320567	45374477.54665967	5.0	921.28375932	17485.25317413	29586819.01012193	19.0
726.770015	923.104719	77773.737	44919.956	26.096729	627428	726.7699176	3628.81320567	45374477.54665967	5.0	922.71954156	16590.8207716	92132835.59037344	18.0
726.770015	923.436238	203447.28	160999.71	82.555349	164960	726.7699176	3628.81320567	45374477.54665967	5.0	923.14968786	6454.99687973	42571601.31253257	7.0
726.770015	923.664819	216162.44	202806.54	116.89597	45265	726.7699176	3628.81320567	45374477.54665967	5.0	923.079279	11064.8640304	26560092.84830981	12.0
726.770015	924.002362	43055.883	22095.977	15.395595	740654	726.7699176	3628.81320567	45374477.54665967	5.0	923.66498211	16607.8387016	87159346.18090367	18.0
726.770015	924.888592	379451.91	355323.98	189.6783	999	726.7699176	3628.81320567	45374477.54665967	5.0	924.61125467	16624.8716076	101619594.09961262	18.0
726.770015	925.311176	83243.896	79793.65	61.633234	299800	726.7699176	3628.81320567	45374477.54665967	5.0	924.935146	7391.42295626	39055066.08958681	8.0
726.770015	925.498259	106508.16	50463.369	27.472422	613212	726.7699176	3628.81320567	45374477.54665967	5.0	925.163963	2772.4700596	43341317.05211991	3.0
726.770015	926.112309	-57487.231	-89297.954	-56.021312	1429776	726.7699176	3628.81320567	45374477.54665967	5.0	925.83324906	16646.8675066	185034208.63087955	18.0
726.770015	926.247317	-80671.986	-109004.72	-94.4054	1656231	726.7699176	3628.81320567	45374477.54665967	5.0	925.71475712	15720.02717106	23015004.3954631	17.0
726.770015	926.890336	-43985.8	-80201.758	-53.989038	1414722	726.7699176	3628.81320567	45374477.54665967	5.0	926.8873425	5555.2803962	146893792.37000978	6.0
726.770015	927.865417	82254.269	56590.28	45.489864	436282	726.7699176	3628.81320567	45374477.54665967	5.0	927.64251833	8339.7171768	35419300.39957198	9.0
726.770015	928.002792	38015.786	-11463.735	-5.0537189	968779	726.7699176	3628.81320567	45374477.54665967	5.0	927.83426372	16682.8857706	1332845681.692792	18.0
726.770015	928.891653	246333.15	131552.03	38.7604	500283	726.7699176	3628.81320567	45374477.54665967	5.0	928.55649078	16695.8858576	431065462.0021989	18.0
726.770015	929.367648	171534.81	136707.89	74.071681	213358	726.7699176	3628.81320567	45374477.54665967	5.0	928.89579253	15774.10477306	32018106.95227908	17.0
726.770015	929.504458	298234.63	228437.02	78.055883	189726	726.7699176	3628.81320567	45374477.54665967	5.0	929.5023185	1856.99008407	126730375.39709184	2.0
726.770015	929.725272	101574.76	60884.039	30.235145	585169	726.7699176	3628.81320567	45374477.54665967	5.0	929.724239	5572.3017752	227916593.34654564	6.0
726.770015	930.162497	1037907.1	901622.9	241.12921	52	726.7699176	3628.81320567	45374477.54665967	5.0	930.162497	929.15522053	81795473.2423866	1.0
726.770015	930.754015	-9154.9059	-27905.746	-22.770168	1146496	726.7699176	3628.81320567	45374477.54665967	5.0	930.75631767	2789.2471236	30446770.97959661	3.0
726.770015	931.224067	-24193.6	-130020.44	-44.821056	1343102	726.7699176	3628.81320567	45374477.54665967	5.0	930.8911855	16737.9103626	471342942.348222	18.0
726.770015	931.362503	-27851.391	-57326.951	-40.753538	1309186	726.7699176	3628.81320567	45374477.54665967	5.0	930.91988178	8369.2134478	34927566.98540388	9.0
726.770015	931.810163	145345.19	118439.73	80.099274	178198	726.7699176	3628.81320567	45374477.54665967	5.0	931.64546517	5583.8291322	43611048.66165721	6.0
726.770015	931.947309	663299.33	580911.02	191.05178	912	726.7699176	3628.81320567	45374477.54665967	5.0	931.77969794	16753.9035866	1251944549.1363482	18.0
726.770015	932.646841	-63196.547	-87459.667	-67.705415	1510169	726.7699176	3628.81320567	45374477.54665967	5.0	932.53238622	8383.7259878	93168003.48249382	9.0
726.770015	932.892628	101935.7	-29109.145	-9.2131174	1012016	726.7699176	3628.81320567	45374477.54665967	5.0	932.72424594	16770.9054506	5710490453.500704	18.0
726.770015	933.749857	219352.29	184994.14	73.874993	214575	726.7699176	3628.81320567	45374477.54665967	5.0	933.3469072	4661.69815367	42454705.25105115	5.0
726.770015	933.922492	134475.33	96025.108	59.697312	314900	726.7699176	3628.81320567	45374477.54665967	5.0	933.33657325	11187.9515614	60003551.90999502	12.0
726.770015	934.054526	-296907.12	-364650.25	-183.32232	1873124	726.7699176	3628.81320567	45374477.54665967	5.0	933.66606833	16787.8582536	146667026.67953402	18.0
726.770015	934.734554	41043.624	31266.444	29.439819	593171	726.7699176	3628.81320567	45374477.54665967	5.0	934.19238227	24262.81275086	29059408.29759798	26.0
726.770015	935.03798	168199.52	146849.04	92.705366	117162	726.7699176	3628.81320567	45374477.54665967	5.0	934.62243229	15871.45764906	41416394.02296602	17.0
726.770015	935.8727	37526.849	19050.544	16.61738	727496	726.7699176	3628.81320567	45374477.54665967	5.0	935.45194358	11213.3360054	20759863.74287973	12.0
726.770015	937.31756	-44865.352	-77121.948	-56.669182	1434572	726.7699176	3628.81320567	45374477.54665967	5.0	936.94152837	7487.47401526	26993685.3604963	8.0
726.770015	937.380107	-24601.603	-48239.066	-32.442258	1236637	726.7699176	3628.81320567	45374477.54665967	5.0	936.91018027	14038.543557	45300775.14342023	15.0
726.770015	937.928148	-25415.262	-45857.453	-42.760356	1326090	726.7699176	3628.81320567	45374477.54665967	5.0	937.54316972	16857.6460786	62525402.39652383	18.0
726.770015	937.980658	318076.1	286089.2	162.81678	4578	726.7699176	3628.81320567	45374477.54665967	5.0	937.980476	2810.9195986	36694409.11527239	3.0
726.770015	938.485358	50316.375	20160.63	13.936518	756415	726.7699176	3628.81320567	45374477.54665967	5.0	938.03812922	8433.2776748	49236611.95200953	9.0
726.770015	938.81019	36012.747	-8408.0027	-3.6863234	954422	726.7699176	3628.81320567	45374477.54665967	5.0	938.809928	1875.60530307	25020534.44240949	2.0
726.770015	938.926789	-114880.31	-149500.68	-99.27119	1677736	726.7699176	3628.81320567	45374477.54665967	5.0	938.62952718	15939.57826206	260010646.2551492	17.0
726.770015	939.429845	-88292.241	-100505.59	-83.043922	1600203	726.7699176	3628.81320567	45374477.54665967	5.0	938.92821708	11255.0512874	32268260.40784197	12.0
726.770015	940.1548	81980.327	50097.465	31.011987	577169	726.7699176	3628.81320567	45374477.54665967	5.0	939.86947257	13144.07074546	50338431.31081066	14.0
726.770015	940.932532	-34838.727	-61540.954	-47.451779	1364168	726.7699176	3628.81320567	45374477.54665967	5.0	940.42961478	16909.6020896	40170223.87374807	18.0
726.770015	941.513739	22881.921	-1721.5416	-2.0495695	937109	726.7699176	3628.81320567	45374477.54665967	5.0	941.070888	15041.01778453	56981573.83887309	16.0
726.770015	941.82787	-106042.39	-136247.99	-100.69124	1683794	726.7699176	3628.81320567	45374477.54665967	5.0	941.32451962	7522.53794526	24061983.13628657	8.0
726.770015	942.515367	-179780.77	-218371.77	-160.84908	1844615	726.7699176	3628.81320567	45374477.54665967	5.0	941.98115247	15996.55589206	35471555.30070417	17.0
726.770015	942.734801	-13005.047	-44414.367	-27.98551	1195895	726.7699176	3628.81320567	45374477.54665967	5.0	942.734801	941.72752453	16926102.4240066	1.0
726.770015	942.809832	-23554.613	-54967.592	-42.965257	1327864	726.7699176	3628.81320567	45374477.54665967	5.0	942.4134304	4707.03076967	23302754.43099982	5.0
726.770015	943.105213	-41785.221	-65536.396	-62.18486	1473545	726.7699176	3628.81320567	45374477.54665967	5.0	942.77370567	5650.5985752	17752884.24645227	6.0
726.770015	945.575549	-128777.62	-154822.3	-109.12185	1716741	726.7699176	3628.81320567	45374477.54665967	5.0	945.22095718	16051.63257206	119542078.4108949	17.0
