,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
93786,718.921486,810.469017,29,718.921486,4052.345085,4771.266571,1437.842972,3241.876068,4679.71904,2156.7644579999996,2431.407051,4588.171509,2875.685944,1620.938034,4496.623978,3594.60743,810.469017,4405.076447,3960.7975539999998,3869.250023,3777.7024919999994,3686.1549609999997
121440,723.889636,978.253818,30,723.889636,4891.26909,5615.158726,1447.779272,3913.015272,5360.794544,2171.668908,2934.761454,5106.430362,2895.558544,1956.507636,4852.06618,3619.44818,978.253818,4597.701998,4636.904908,4382.540726,4128.176544,3873.812362
22746,668.873562,971.56572739,31,668.873562,4857.82863695,5526.70219895,1337.747124,3886.26290956,5224.01003356,2006.620686,2914.69718217,4921.31786817,2675.494248,1943.13145478,4618.62570278,3344.3678099999997,971.56572739,4315.933537389999,4555.13647156,4252.44430617,3949.75214078,3647.05997539
134331,623.294702,907.28374829,32,623.294702,4536.418741449999,5159.713443449999,1246.589404,3629.13499316,4875.72439716,1869.884106,2721.85124487,4591.73535087,2493.178808,1814.56749658,4307.74630458,3116.4735100000003,907.28374829,4023.75725829,4252.42969516,3968.4406488699997,3684.45160258,3400.46255629
8328,761.449142,1223.65521,33,761.449142,6118.2760499999995,6879.725192,1522.898284,4894.62084,6417.5191239999995,2284.3474260000003,3670.9656299999997,5955.313056,3045.796568,2447.31042,5493.106988,3807.24571,1223.65521,5030.90092,5656.069982,5193.863914,4731.657846,4269.451778000001
43079,596.846292,821.47613,34,596.846292,4107.38065,4704.226942,1193.692584,3285.90452,4479.597104,1790.5388759999998,2464.42839,4254.967266,2387.385168,1642.95226,4030.337428,2984.23146,821.47613,3805.70759,3882.750812,3658.120974,3433.4911359999996,3208.861298
121528,723.889636,762.211934,35,723.889636,3811.05967,4534.949306,1447.779272,3048.847736,4496.627008,2171.668908,2286.6358020000002,4458.30471,2895.558544,1524.423868,4419.982412,3619.44818,762.211934,4381.660114,3772.737372,3734.4150740000005,3696.0927760000004,3657.770478
9100,793.472878,829.27921803,36,793.472878,4146.39609015,4939.86896815,1586.945756,3317.11687212,4904.06262812,2380.418634,2487.83765409,4868.25628809,3173.891512,1658.55843606,4832.449948060001,3967.36439,829.27921803,4796.64360803,4110.58975012,4074.78341009,4038.97707006,4003.1707300300004
137252,548.283439,1051.954204,37,548.283439,5259.771019999999,5808.054458999999,1096.566878,4207.816816,5304.383694,1644.8503170000001,3155.862612,4800.712929,2193.133756,2103.908408,4297.042164,2741.417195,1051.954204,3793.3713989999997,4756.100254999999,4252.42949,3748.7587249999997,3245.08796
12771,733.177995,767.960192,38,733.177995,3839.80096,4572.9789550000005,1466.35599,3071.840768,4538.196758,2199.533985,2303.880576,4503.414561,2932.71198,1535.920384,4468.632364,3665.889975,767.960192,4433.8501670000005,3805.018763,3770.236566,3735.454369,3700.672172
