,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
34,y7 (2+) @ 319.0 & [b7-NH3] (1+) @ 673.33,2m1+m2,1311.33,0,0,0,0,0,0,0,0,0,0
35,y5 (2+) @ 262.0 & b12 (2+) @ 533.0,m1+2m2,1328.0,6,6,6,1,1,1,1,1,1,1
36,b8 (1+) @ 748.0 & ai9-10 (1+) @ 204.67,m1+2m2,1157.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,y11(2+) @ 549.67 & a3(1+) @ 201.67,2m1+m2,1301.01,-1,-1,-1,2,2,2,2,2,2,2
38,549.67 & 165.33,2m1+m2,1264.6699999999998,-1,-1,-1,4,4,4,4,4,4,4
39,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,2m1+m2,1293.33,4,4,4,3,3,3,3,3,3,3
40,461.67 & 389.0,2m1+m2,1312.3400000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
41,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,2m1+m2,1283.33,7,7,7,5,5,5,5,5,5,5
42,y4 (2+) @ 188.0 & [b10-NH3] (1+) @ 934.33,2m1+m2,1310.33,8,8,8,0,0,0,0,0,0,0
43,b11 (1+) @ 504.67 & [y3 – CO2] (1+) @ 274.0,2m1+m2,1283.3400000000001,7,7,7,5,5,5,5,5,5,5
44,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67,2m1+m2,928.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,[b13-H2O-NH3] (2+) @ 559.33 & y1(1+) @ 175.0,2m1+m2,1293.66,5,5,5,3,3,3,3,3,3,3
46,y1 (1+) @ 174.67 & [b13-NH3] (2+) @ 567.67,m1+2m2,1310.01,-1,-1,-1,0,0,0,0,0,0,0
47,y5 (1+) @ 523.67 & ??? @ 370.33,m1+2m2,1264.33,-1,-1,-1,4,4,4,4,4,4,4
48,637.0 & 314.33,m1+2m2,1265.6599999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
49,589.33 & 131.67,2m1+m2,1310.3300000000002,8,8,8,0,0,0,0,0,0,0
50,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0,2m1+m2,1309.34,-1,-1,-1,-1,-1,-1,0,0,0,0
