,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
30,y6 (2+) @ 352.16 & [y1-H2O] (1+) @ 117.43,y6,,,2+,352.16,y1,H2O,-,1+,117.43,0.0,18.01056468403,702.36603,146.10551999999998,352.190265,129.10220531596997,-0.030264999999985776,-11.672205315969961,469.59000000000003,821.75,587.02,2m1+m2,821.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,bi2-3 (1+) @ 370.7 & ??? @ 197.72,bi2-3,,,1+,370.7,???,,,,197.72,0.0,0.0,370.21172,,371.21897,,-0.5189700000000244,,568.42,939.12,766.14,2m1+m2,939.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,[b7+H2O] (2+) @ 431.82 & y1-H2O (1+)128.45,b7,H2O,+,2+,431.82,,,,,,18.01056468403,0.0,843.3875,,431.706282342015,,0.1137176579849779,,,,,m1+2m2,,,,,,,,,,,
33,bi3-6 (1+) @ 428.11 & b2 (1+) @ 287.75,bi3-6,,,1+,428.11,b2,,,1+,287.75,0.0,0.0,427.21791999999994,287.12699,428.22516999999993,288.13424,-0.11516999999992095,-0.38423999999997704,715.86,1143.97,1003.61,m1+2m2,1003.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,y3 (1+) @ 405.0 & b5 (2+) @ 293.55,y3,,,1+,405.0,b5,,,2+,293.55,0.0,0.0,404.19069999999994,585.30232,405.19794999999993,293.65841,-0.1979499999999348,-0.10840999999999212,698.55,1103.55,992.1,m1+2m2,992.1,4,0,0,0,0,0,0,0,0,0
35,y4 (1+) @ 462.22 & [a4-NH3] (2+) @ 242.05,y4,,,1+,462.22,a4,NH3,-,2+,242.05,0.0,17.02654910112,461.2121599999999,500.27025999999995,462.2194099999999,242.62910544943998,0.0005900000001020089,-0.5791054494399646,704.27,1166.49,946.32,m1+2m2,946.32,-1,-1,-1,-1,-1,-1,-1,4,4,4
36,y4 (2+) @ 230.81 & [a4-NH3] (1+) @ 485.42,y4,,,2+,230.81,a4,NH3,-,1+,485.42,0.0,17.02654910112,461.2121599999999,500.27025999999995,231.61332999999996,484.25096089887995,-0.8033299999999599,1.1690391011200632,716.23,947.04,1201.65,2m1+m2,947.04,-1,-1,-1,-1,-1,-1,-1,4,4,4
37,y7-H2O (2+) 436.23 & ??? @ 118.35,,,,,,???,,,,118.35,0.0,0.0,,,,,,,,,,m1+2m2,,,,,,,,,,,
38,y5 (1+) @ 519.35 & [b3 - CH3NHCH3 – H2O] (2+) @ 205.31,y5,,,1+,519.35,b3,CH3NHCH3-H2O,-,2+,205.31,0.0,63.06841391407,518.23362,471.25939999999997,519.24087,205.102743042965,0.10913000000005013,0.207256957035014,724.6600000000001,1244.01,929.97,m1+2m2,929.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,y1 (1+) @ 147.54 & b6 (1+) @ 715.4,y1,,,1+,147.54,b6,,,1+,715.4,0.0,0.0,146.10551999999998,714.34491,147.11276999999998,715.35216,0.42723000000000866,0.04783999999995103,862.9399999999999,1010.48,1578.34,2m1+m2,1010.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,[y6 - CH3-NH-CH3] (1+) @ 658.42 & bi2-2 (1+) @ 186.66,y6,CH3-NH-CH3,-,1+,658.42,bi2-2,,,1+,186.66,45.05784923004,0.0,702.36603,186.07931,658.31543076996,187.08656,0.10456923003994234,-0.42655999999999494,845.0799999999999,1503.5,1031.74,m1+2m2,1031.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,[b6 – H3C-N=CH2 - NH3] (1+) @ 654.37 & y2 (1+) @ y2 (1+) 275.92,b6,H3C-N=CH2-NH3,-,1+,654.37,,,,,,60.0687482667,0.0,714.34491,,655.2834117333,,-0.9134117332999949,,,,,m1+2m2,,,,,,,,,,,
42,y5 (1+) @ 519.11 & a2 (2+) @ 129.47,y5,,,1+,519.11,a2,,,2+,129.47,0.0,0.0,518.23362,259.11638999999997,519.24087,130.56544499999998,-0.13086999999995896,-1.0954449999999838,648.58,1167.69,778.05,2m1+m2,1167.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,bi 2-5 (1+) @ 485.29 & [bi 6-7 – HCOOH] (1+) @ 212.85,bi2-5,,,1+,485.29,bi6-7,HCOOH,-,1+,212.85,0.0,46.0054793036,484.25464,258.08518,485.26189,213.08695069639998,0.028110000000026503,-0.23695069639998678,698.14,1183.43,910.99,m1+2m2,910.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,y6 (2+) @ 352.4 & bi2-2 (1+) @ 186.67,y6,,,2+,352.4,bi2-2,,,1+,186.67,0.0,0.0,702.36603,186.07931,352.190265,187.08656,0.20973499999996648,-0.41656000000000404,539.0699999999999,891.4699999999999,725.74,2m1+m2,891.4699999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,y5 (1+) @ 519.0 & ??? @ 177.74,y5,,,1+,519.0,???,,,,177.74,0.0,0.0,518.23362,,519.24087,,-0.2408699999999726,,696.74,1215.74,874.48,m1+2m2,874.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,697.71 & 101.31,,,,,697.71,,,,,101.31,0.0,0.0,,,,,,,799.02,1496.73,900.33,m1+2m2,900.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,y5 (2+) @ 259.95 & b3 (1+) @ 472.14,y5,,,2+,259.95,b3,,,1+,472.14,0.0,0.0,518.23362,471.25939999999997,260.12406,472.26664999999997,-0.17405999999999722,-0.12664999999998372,732.0899999999999,992.04,1204.23,2m1+m2,992.04,4,0,0,0,0,0,0,0,0,0
48,y1 (1+) @ 146.75 & a5 (1+) @ 557.2,y1,,,1+,146.75,a5,,,1+,557.2,0.0,0.0,146.10551999999998,557.29172,147.11276999999998,558.29897,-0.3627699999999834,-1.0989700000000084,703.95,850.7,1261.15,2m1+m2,850.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,404.6 & 146.46,,,,,404.6,,,,,146.46,0.0,0.0,,,,,,,551.0600000000001,955.6600000000001,697.52,2m1+m2,955.6600000000001,-1,-1,-1,-1,2,2,2,2,2,2
50,352.05 & 131.78,,,,,352.05,,,,,131.78,0.0,0.0,,,,,,,483.83000000000004,835.88,615.61,2m1+m2,835.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
