,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,deviation,charge_A,charge_B,adj_mass_A,adj_mass_B,explanation_A,deviation_A,theoretical_mass_A,explanation_B,deviation_B,theoretical_mass_B
13,759.833904,1124.0988,297,3767.8654079999997,1519.667808,2248.1976,0.021277999999711028,2,2,1518.659968,2247.1897599999998,b14,0.007078000000092288,1518.6528899999998,y19,0.013019999999414722,2247.1767400000003
14,646.749278,1237.183441,314,3767.865438,1293.498556,2474.366882,0.02130799999986266,2,2,1292.490716,2473.3590419999996,b12,0.005945999999994456,1292.48477,y21,0.014181999998982064,2473.3448600000006
15,931.551515,945.437938,348,3767.865329,931.551515,2836.313814,0.021199000000251544,1,3,931.551515,2834.298134,y8,0.0056849999998576095,931.5458300000001,b25,0.014333999999962543,2834.2838
16,803.931349,1080.00184,381,3767.8663779999997,1607.862698,2160.00368,0.022247999999763124,2,2,1606.854858,2158.9958399999996,y13,0.007377999999789608,1606.8474800000001,b20,0.013689999999769498,2158.98215
17,348.178404,1139.896002,443,3767.8664099999996,348.178404,3419.688006,0.02227999999968233,1,3,348.178404,3417.672326,y3,0.0019139999999993051,348.17649,b30,0.019185999999535852,3417.6531400000003
18,883.41091,1117.631792,471,3767.864522,2650.2327299999997,1117.631792,0.0203919999999016,3,1,2648.2170499999997,1117.631792,b24,0.012559999999666616,2648.20449,y9,0.006651999999803593,1117.62514
19,596.225094,1287.707999,901,3767.866186,1192.450188,2575.415998,0.022056000000247877,2,2,1191.442348,2574.4081579999997,b11,0.005257999999912499,1191.4370900000001,y22,0.015617999998994492,2574.3925400000007
20,746.417687,1137.515261,1210,3767.8658960000002,1492.835374,2275.030522,0.021766000000297936,2,2,1491.827534,2274.022682,y12,0.0069939999998496205,1491.8205400000002,b21,0.01359199999978955,2274.00909
21,235.10267,1177.590897,1221,3767.8753610000003,235.10267,3532.772691,0.03123100000038903,1,3,235.10267,3530.757011,y2,0.010240000000010241,235.09242999999998,b31,0.01981099999966318,3530.7372000000005
22,672.883173,1211.04955,1246,3767.865446,1345.766346,2422.0991,0.02131599999984246,2,2,1344.7585060000001,2421.0912599999997,y11,0.0063760000000456785,1344.75213,b22,0.013759999999820138,2421.0775
23,807.701371,1344.760428,1524,3767.864541,2423.104113,1344.760428,0.020410999999967316,3,1,2421.088433,1344.760428,b22,0.01093300000002273,2421.0775,y11,0.008297999999967942,1344.75213
24,817.347653,1066.58517,1533,3767.865646,1634.695306,2133.17034,0.021516000000247004,2,2,1633.687466,2132.1625,b15,0.007636000000275089,1633.6798299999998,y18,0.012699999999767897,2132.1498
25,559.319043,1324.614753,2817,3767.867592,1118.638086,2649.229506,0.023462000000108674,2,2,1117.630246,2648.221666,y9,0.005105999999841515,1117.62514,b24,0.017175999999835767,2648.20449
26,353.194059,1530.739321,3246,3767.86676,706.388118,3061.478642,0.022629999999935535,2,2,705.380278,3060.470802,y6,0.002567999999882886,705.3777100000001,b27,0.018881999999393884,3060.4519200000004
27,466.278915,1417.655177,4099,3767.868184,932.55783,2835.310354,0.02405399999997826,2,2,931.54999,2834.302514,y8,0.004159999999842512,931.5458300000001,b25,0.018713999999818043,2834.2838
28,938.476008,945.437938,4360,3767.8278920000002,1876.952016,1890.875876,0.01623799999970288,2,2,1875.944176,1889.868036,,,,,,
29,941.71277,942.717789,7732,3767.8560989999996,2825.13831,942.717789,0.011968999999680818,3,1,2823.12263,942.717789,,,,,,
