,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
207,883.41091,1117.631792,471,3767.864522,3,1,b24,y9+1,0.999999999999955,y+1,0.012559999999666616,0.012688000000252941,0.0010519999991629447,2648.20449,1117.6444800000002
222,596.225094,1287.707999,901,3767.866186,2,2,b11,y22+1,0.999999999999955,y+1,0.005257999999912499,0.0037220000008346688,0.002715999999509222,1191.4370900000001,2574.4118800000006
234,746.417687,1137.515261,1210,3767.8658960000002,2,2,y12+1,b21,0.999999999999955,y+1,0.012346000000206914,0.01359199999978955,0.0024259999995592807,1491.8398800000002,2274.00909
236,235.10267,1177.590897,1221,3767.8753610000003,1,3,y2+1,b31,0.999999999999955,y+1,0.00909999999998945,0.01981099999966318,0.011890999999650376,235.11176999999998,3530.7372000000005
237,672.883173,1211.04955,1246,3767.865446,2,2,y11+1,b22,0.999999999999955,y+1,0.012964000000010856,0.013759999999820138,0.0019759999991038057,1344.7714700000001,2421.0775
239,807.701371,1344.760428,1524,3767.864541,3,1,b22,y11+1,0.999999999999955,y+1,0.01093300000002273,0.011042000000088592,0.0010709999992286612,2421.0775,1344.7714700000001
240,817.347653,1066.58517,1533,3767.865646,2,2,b15,y18+1,0.999999999999955,y+1,0.007636000000275089,0.0066400000000612636,0.002175999999508349,1633.6798299999998,2132.16914
219,938.464043,953.522196,775,3768.9143249999997,3,1,,,1.99999999999991,Parent+1 (Unannotated),,,0.047504999999091524,,
8,705.381744,1021.162037,5,3768.8678550000004,1,3,b7+3,b27+1,1.99999999999991,"b+1, b+3",0.0875540000000683,0.015160999999807245,0.0010349999997742998,705.29419,3061.4552700000004
227,353.194059,1531.241373,1070,3768.870864,2,2,b7+3,b27+1,1.99999999999991,"b+1, b+3",0.08608800000001793,0.01963599999953658,0.004043999999339576,705.29419,3061.4552700000004
2,476.274275,1097.531602,3,3768.869081,1,3,y4+1,b29+1,1.99999999999991,"b+1, y+1",0.016515000000026703,0.017595999999684864,0.002260999999180058,476.29079,3290.5615300000004
7,705.381744,1021.162037,5,3768.8678550000004,1,3,y6+1,b27+1,1.99999999999991,"b+1, y+1",0.01530600000000959,0.015160999999807245,0.0010349999997742998,705.39705,3061.4552700000004
9,818.466536,983.46699,6,3768.867506,1,3,y7+1,b26+1,1.99999999999991,"b+1, y+1",0.014574000000038723,0.01407999999992171,0.0006859999994048849,818.4811100000001,2948.3712100000002
12,348.178404,1140.230185,9,3768.8689589999994,1,3,y3+1,b30+1,1.99999999999991,"b+1, y+1",0.017426000000000386,0.018384999999398133,0.002138999998805957,348.19583,3418.6564900000003
25,409.736522,1474.699264,22,3768.871572,2,2,y7+1,b26+1,1.99999999999991,"b+1, y+1",0.01590600000008635,0.019477999999708118,0.004751999999371037,818.4811100000001,2948.3712100000002
26,577.322546,1063.848577,24,3768.868277,1,3,y5+1,b28+1,1.99999999999991,"b+1, y+1",0.015924000000040905,0.016200999999909982,0.0014569999993909732,577.33847,3189.5138500000003
27,616.340608,1268.093972,25,3768.8691599999997,2,2,y10+1,b23+1,1.99999999999991,"b+1, y+1",0.014034000000265223,0.015193999999610242,0.002339999999094289,1231.6874100000002,2535.16491
29,931.551515,945.772274,27,3768.8683370000003,1,3,y8+1,b25+1,1.99999999999991,"b+1, y+1",0.013655000000085238,0.01399200000014389,0.0015169999996942352,931.5651700000001,2835.28715
33,235.093728,1177.924993,32,3768.868707,1,3,y2+1,b31+1,1.99999999999991,"b+1, y+1",0.018041999999979907,0.018748999999843363,0.001886999999442196,235.11176999999998,3531.7405500000004
45,845.730494,1231.675462,45,3768.8669440000003,3,1,b23+1,y10+1,1.99999999999991,"b+1, y+1",0.010892000000239932,0.011948000000302272,0.0001239999996869301,2535.16491,1231.6874100000002
62,559.319043,1325.115834,63,3768.869754,2,2,y9+1,b24+1,1.99999999999991,"b+1, y+1",0.014234000000215019,0.015987999999651947,0.0029339999991861987,1117.6444800000002,2649.20784
72,760.33525,1124.0988,74,3768.8680999999997,2,2,b14+1,y19+1,1.99999999999991,"b+1, y+1",0.006420000000161963,0.0063200000004144385,0.0012799999990420474,1519.6562399999998,2247.19608
76,917.501688,966.932342,79,3768.86806,2,2,y15+1,b18+1,1.99999999999991,"b+1, y+1",0.00950400000033369,0.009564000000182205,0.0012399999991430377,1834.0050400000002,1932.8472799999997
92,881.982424,1002.451001,97,3768.8668500000003,2,2,y14+1,b19+1,1.99999999999991,"b+1, y+1",0.01092200000016419,0.009772000000339176,2.9999999696883606e-05,1762.9679300000003,2003.8843899999997
94,931.413618,953.020518,99,3768.868272,2,2,b17+1,y16+1,1.99999999999991,"b+1, y+1",0.009226000000353451,0.00895400000013069,0.0014519999995172839,1861.8101699999997,1905.0421500000002
101,466.278915,1418.156315,108,3768.87046,2,2,y8+1,b25+1,1.99999999999991,"b+1, y+1",0.015180000000100335,0.017639999999573774,0.003639999999450083,931.5651700000001,2835.28715
103,647.250748,1237.183441,110,3768.868378,2,2,b12+1,y21+1,1.99999999999991,"b+1, y+1",0.0055360000001201115,0.005158000000847096,0.0015579999994770333,1293.48812,2473.3642000000004
105,703.793067,1180.641459,112,3768.869052,2,2,b13+1,y20+1,1.99999999999991,"b+1, y+1",0.006114000000025044,0.0050620000006347254,0.0022319999993669626,1406.57218,2360.2801400000003
114,883.745171,1117.631792,128,3768.8673049999998,3,1,b24+1,y9+1,1.99999999999991,"b+1, y+1",0.011993000000074971,0.012688000000252941,0.0004849999991165532,2649.20784,1117.6444800000002
128,596.726614,1287.707999,153,3768.869226,2,2,b11+1,y22+1,1.99999999999991,"b+1, y+1",0.004948000000013053,0.0037220000008346688,0.0024059999991550285,1192.44044,2574.4118800000006
134,672.883173,1211.550859,164,3768.8680640000002,2,2,y11+1,b22+1,1.99999999999991,"b+1, y+1",0.012964000000010856,0.013027999999849271,0.001243999999587686,1344.7714700000001,2422.08085
147,235.10267,1177.924993,191,3768.877649,1,3,y2+1,b31+1,1.99999999999991,"b+1, y+1",0.00909999999998945,0.018748999999843363,0.01082899999937581,235.11176999999998,3531.7405500000004
149,808.035566,1344.760428,194,3768.867126,3,1,b22+1,y11+1,1.99999999999991,"b+1, y+1",0.010168000000248867,0.011042000000088592,0.00030599999945479794,2422.08085,1344.7714700000001
166,803.931349,1080.502759,228,3768.868216,2,2,y13+1,b20+1,1.99999999999991,"b+1, y+1",0.011962000000266926,0.012177999999948952,0.001395999999203923,1606.8668200000002,2159.9855
170,746.417687,1138.016207,236,3768.8677879999996,2,2,y12+1,b21+1,1.99999999999991,"b+1, y+1",0.012346000000206914,0.012133999999605294,0.000967999998920277,1491.8398800000002,2275.01244
182,539.704971,1344.730161,295,3768.870264,2,2,b10+1,y23+1,1.99999999999991,"b+1, y+1",0.004592000000002372,0.0023280000009435753,0.003443999999490188,1078.39751,2688.4548100000006
184,817.84918,1066.58517,298,3768.8687,2,2,b15+1,y18+1,1.99999999999991,"b+1, y+1",0.0073400000003402965,0.0066400000000612636,0.0018799999993461824,1634.6831799999998,2132.16914
217,348.178404,1140.250036,705,3768.9285119999995,1,3,y3+1,b30+1,1.99999999999991,"b+1, y+1",0.017426000000000386,0.07793799999944895,0.06169199999885677,348.19583,3418.6564900000003
226,353.194059,1531.241373,1070,3768.870864,2,2,y6+1,b27+1,1.99999999999991,"b+1, y+1",0.01677200000005996,0.01963599999953658,0.004043999999339576,705.39705,3061.4552700000004
69,706.384701,1020.82773,70,3768.867891,1,3,b7+4,b27,1.99999999999991,b+4,0.08716099999992366,0.015589999999519932,0.0010709999992286612,706.29754,3060.4519200000004
14,646.749278,1237.685092,11,3768.86874,2,2,b12,y21+2,1.99999999999991,y+2,0.005945999999994456,0.005206000000725908,0.0019199999992451922,1292.48477,2474.3675500000004
22,819.469685,983.1326,18,3768.867485,1,3,y7+2,b26,1.99999999999991,y+2,0.01477500000009968,0.014259999999922002,0.0006649999995715916,819.4844600000001,2947.3678600000003
24,759.833904,1124.600103,20,3768.8680139999997,2,2,b14,y19+2,1.99999999999991,y+2,0.007078000000092288,0.0070640000003550085,0.0011939999990318029,1518.6528899999998,2248.19943
38,616.842268,1267.59262,38,3768.8697759999995,2,2,y10+2,b23,1.99999999999991,y+2,0.01406400000018948,0.015839999999570864,0.0029559999989032804,1232.6907600000002,2534.16156
53,930.911752,953.522196,53,3768.8678959999997,2,2,b17,y16+2,1.99999999999991,y+2,0.00884400000018104,0.00894800000014584,0.0010759999991023506,1860.8068199999998,1906.0455000000002
58,703.291495,1181.14284,58,3768.86867,2,2,b13,y20+2,1.99999999999991,y+2,0.006320000000187065,0.00565000000051441,0.0018499999991945515,1405.56883,2361.2834900000003
60,918.003403,966.430778,61,3768.868362,2,2,y15+2,b18,1.99999999999991,y+2,0.009424000000080923,0.00978600000030383,0.0015419999995174294,1835.0083900000002,1931.8439299999998
68,706.384701,1020.82773,70,3768.867891,1,3,y6+2,b27,1.99999999999991,y+2,0.01569900000015423,0.015589999999519932,0.0010709999992286612,706.4004000000001,3060.4519200000004
70,477.277555,1097.1974,71,3768.869755,1,3,y4+2,b29,1.99999999999991,y+2,0.0165850000000205,0.018339999999625434,0.0029349999995247344,477.29414,3289.5581800000004
77,596.225094,1288.208948,80,3768.8680839999997,2,2,b11,y22+2,1.99999999999991,y+2,0.005257999999912499,0.0051740000008067,0.0012639999990824435,1191.4370900000001,2575.4152300000005
79,882.484263,1001.949824,82,3768.868174,2,2,y14+2,b19,1.99999999999991,y+2,0.010594000000082815,0.010768000000325628,0.0013539999995373364,1763.9712800000002,2002.8810399999998
87,845.396306,1232.679204,91,3768.868122,3,1,b23,y10+2,1.99999999999991,y+2,0.011677999999847088,0.011556000000155109,0.0013019999992138764,2534.16156,1232.6907600000002
89,539.203433,1345.231995,93,3768.8708560000005,2,2,b10,y23+2,1.99999999999991,y+2,0.0048659999999927095,0.0020100000006095797,0.004035999999814521,1077.39416,2689.4581600000006
112,932.554952,945.437938,126,3768.868766,1,3,y8+2,b25,1.99999999999991,y+2,0.013568000000191205,0.014333999999962543,0.0019459999994069221,932.5685200000001,2834.2838
118,817.347653,1067.085992,135,3768.86729,2,2,b15,y18+2,1.99999999999991,y+2,0.007636000000275089,0.008346000000074127,0.0004699999994954851,1633.6798299999998,2133.17249
137,673.3845,1211.04955,172,3768.8680999999997,2,2,y11+2,b22,1.99999999999991,y+2,0.013660000000072614,0.013759999999820138,0.0012799999990420474,1345.77482,2421.0775
146,466.780285,1417.655177,188,3768.8709240000003,2,2,y8+2,b25,1.99999999999991,y+2,0.01579000000015185,0.018713999999818043,0.004103999999642838,932.5685200000001,2834.2838
160,473.682928,1410.751853,216,3768.869562,2,2,b9,y24+2,1.99999999999991,y+2,0.004346000000055028,0.0027840000007017807,0.0027419999992162047,946.35367,2820.4986500000005
173,209.104503,1186.587663,244,3768.867492,1,3,b2,y31+2,1.99999999999991,y+2,0.0012329999999849406,0.0017410000004929316,0.0006719999992128578,209.10327,3557.7490500000004
190,578.325551,1063.513942,332,3768.867377,1,3,y5+2,b28,1.99999999999991,y+2,0.01626900000007936,0.015645999999833293,0.000556999999389518,578.3418200000001,3188.5105000000003
195,897.155745,1077.400566,361,3768.8678010000003,3,1,y23+2,b10,1.99999999999991,y+2,0.006605000000490691,0.006405999999969936,0.000980999999683263,2689.4581600000006,1077.39416
198,236.097145,1177.590897,408,3768.8698360000003,1,3,y2+2,b31,1.99999999999991,y+2,0.017974999999950114,0.01981099999966318,0.0030159999996612896,236.11511999999996,3530.7372000000005
208,559.820352,1324.614753,514,3768.87021,2,2,y9+2,b24,1.99999999999991,y+2,0.014966000000185886,0.017175999999835767,0.0033899999993991514,1118.64783,2648.20449
209,410.238225,1474.196622,519,3768.869694,2,2,y7+2,b26,1.99999999999991,y+2,0.01585000000011405,0.017543999999361404,0.002873999999337684,819.4844600000001,2947.3678600000003
