,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
35,380.232176,812.24398,68,4009.440272,2,4,y7+1,b30+1,1.99999999999991,"b+1, y+1",0.0012819999999464926,0.008299999999508145,0.011941999999180553,759.45523,3245.9441
36,408.74309,797.988504,70,4009.440196,2,4,y8+1,b29+1,1.99999999999991,"b+1, y+1",0.0016499999999268766,0.007855999999719643,0.011865999999372434,816.4766900000001,3188.9226400000002
54,507.811704,748.454142,147,4009.439976,2,4,y10+1,b27+1,1.99999999999991,"b+1, y+1",0.002058000000033644,0.007227999999486201,0.011645999999473133,1014.61351,2990.7858200000005
68,280.684175,862.018239,193,4009.4413059999997,2,4,y5+1,b32+1,1.99999999999991,"b+1, y+1",0.000969999999938409,0.009645999999520427,0.012975999999071064,560.35954,3445.0397900000003
1,280.182538,862.268876,3,4009.44058,2,4,y5,b32+2,1.99999999999991,b+2,0.0010459999999739011,0.00884399999949892,0.012249999999312422,559.3561900000001,3446.04314
10,379.730691,812.494697,9,4009.44017,2,4,y7,b30+2,1.99999999999991,b+2,0.0016619999998965795,0.00781799999958821,0.011839999999210704,758.4518800000001,3246.94745
12,315.701199,844.509518,16,4009.4404699999996,2,4,y6,b31+2,1.99999999999991,b+2,0.0012579999998934,0.00852199999962977,0.012139999998908024,630.3933000000001,3375.00603
25,542.829029,730.945574,44,4009.440354,2,4,y11,b26+2,1.99999999999991,b+2,0.002947999999832973,0.006715999999414635,0.012023999999200896,1084.6472700000002,2920.7520600000003
27,559.35831,690.016201,47,4009.439315,1,5,y5,b32+2,1.99999999999991,b+2,0.002119999999877109,0.006504999999833672,0.010984999999436695,559.3561900000001,3446.04314
33,408.241512,798.239231,63,4009.439948,2,4,y8,b29+2,1.99999999999991,b+2,0.001843999999891821,0.007413999999698717,0.011617999999543827,815.4733400000001,3189.92599
42,457.775967,773.471959,86,4009.43977,2,4,y9,b28+2,1.99999999999991,b+2,0.0023439999998799976,0.0067359999993641395,0.011439999999311112,914.5417500000001,3090.8575800000003
48,599.165146,1013.615054,113,4009.4407840000003,5,1,b27+2,y10,1.99999999999991,b+2,0.005200000000058935,0.004893999999922016,0.012453999999706866,2991.7891700000005,1013.6101600000001
50,584.957665,1084.652373,131,4009.440698,5,1,b26+2,y11,1.99999999999991,b+2,0.004904999999780557,0.0051029999997354025,0.012367999999241874,2920.7520600000003,1084.6472700000002
56,458.310365,710.225892,151,4009.439825,1,5,y4,b33+2,1.99999999999991,b+2,0.0018549999999777356,0.007279999999809661,0.011494999999285938,458.30851,3547.0908200000003
66,229.658571,887.530923,184,4009.440834,2,4,y4,b33+2,1.99999999999991,b+2,0.0007919999999899119,0.009351999999580585,0.012503999999353255,458.30851,3547.0908200000003
