m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B
415.1839	540.3033	21077869.0	17312050.0	353.9552	57	1903.160034	81014.875
540.3033	415.1839	21077869.0	17312050.0	353.9552	57	81014.875	1903.160034
540.3033	528.2686	16135360.0	14313333.0	349.48618	58	81014.875	1108.264771
528.2686	540.3033	16135360.0	14313333.0	349.48618	58	1108.264771	81014.875
272.1614	1008.5639	3985343.1	3824188.8	346.58071	59	948.329224	9142.976563
1008.5639	272.1614	3985343.1	3824188.8	346.58071	59	9142.976563	948.329224
500.2372	504.7846	15315214.0	13897635.0	341.05157	60	1889.202759	31507.433594
504.7846	500.2372	15315214.0	13897635.0	341.05157	60	31507.433594	1889.202759
401.2886	603.7931	4666969.1	4393455.1	340.37291	61	7515.183105	1081.730591
603.7931	401.2886	4666969.1	4393455.1	340.37291	61	1081.730591	7515.183105
951.5419	629.4008	7265425.4	6877723.4	339.6091	62	4298.900879	6271.913086
629.4008	951.5419	7265425.4	6877723.4	339.6091	62	6271.913086	4298.900879
397.1966	814.482	6746229.0	6471866.2	332.31445	63	2682.680664	5392.56543
814.482	397.1966	6746229.0	6471866.2	332.31445	63	5392.56543	2682.680664
401.2886	978.4691	1782232.1	1755304.4	331.41654	64	877.062744	2100.085938
978.4691	401.2886	1782232.1	1755304.4	331.41654	64	2100.085938	877.062744
411.189	504.7846	8310674.3	7741955.8	330.50731	65	2833.304199	10414.665039
504.7846	411.189	8310674.3	7741955.8	330.50731	65	10414.665039	2833.304199
429.1995	540.3033	16694608.0	14099926.0	317.24568	66	3445.552979	29821.267578
540.3033	429.1995	16694608.0	14099926.0	317.24568	66	29821.267578	3445.552979
201.0877	654.3592	14937832.0	12864929.0	315.89419	67	1032.938354	108949.34375
654.3592	201.0877	14937832.0	12864929.0	315.89419	67	108949.34375	1032.938354
540.3033	316.115	14025722.0	12007376.0	314.70146	68	29821.267578	3013.229492
316.115	540.3033	14025722.0	12007376.0	314.70146	68	3013.229492	29821.267578
401.2045	540.3033	8759142.4	7782100.9	312.75376	69	1218.325195	29821.267578
540.3033	401.2045	8759142.4	7782100.9	312.75376	69	29821.267578	1218.325195
175.1196	603.7931	4487175.8	4212767.6	308.05681	70	8633.249023	1081.730591
