m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	envelope_id_A	monoisotopic_mass_A	deconvoluted_mz_A	charge_B	envelope_id_B	monoisotopic_mass_B	deconvoluted_mz_B
156.102426	587.840184	-176941.93	-209948.28	-67.467149	9980	1	23	155.0951	156.1024	2	9839	1173.6658	1174.6731
156.102426	588.337358	-654555.36	-671433.01	-395.4305	14837	1	24	155.0951	156.1024	2	9844	1173.6658	1174.6731
156.102426	596.845575	3548741.1	1620005.4	54.763154	3417	1	25	155.0951	156.1024	2	10072	1191.6766	1192.6839
156.102426	597.346987	1803389.0	1096056.3	50.996572	3607	1	26	155.0951	156.1024	2	10091	1191.6766	1192.6839
156.102426	597.848378	191874.7	47497.125	6.4519685	5910	1	27	155.0951	156.1024	2	10025	1191.6766	1192.6839
156.102426	599.30583	-202963.35	-246797.32	-66.875062	9957	1	28	155.0951	156.1024	1	10259	598.2986	599.3058
156.102426	603.793117	-173193.3	-224070.39	-83.053128	10650	1	29	155.0951	156.1024	1	10392	602.7858	603.7931
156.102426	610.345456	267706.85	153332.32	21.495184	5090	1	30	155.0951	156.1024	1	10593	609.3382	610.3455
156.102426	622.296933	258171.65	213877.17	60.819073	3105	1	32	155.0951	156.1024	1	10717	621.2897	622.2969
156.102426	625.839478	-9752.6728	-24932.794	-8.5259069	7085	1	41	155.0951	156.1024	1	10896	624.8322	625.8395
156.102426	629.40075	-1903061.0	-2048908.9	-392.95972	14833	1	33	155.0951	156.1024	1	11093	628.3935	629.4008
156.102426	630.403825	59116.822	29458.847	7.4993648	5851	1	34	155.0951	156.1024	1	11083	628.3935	629.4008
156.102426	645.354248	-1161.9602	-60831.221	-7.6871998	7034	1	35	155.0951	156.1024	2	11298	1288.6939	1289.7012
156.102426	645.850301	-1045073.7	-1152883.6	-320.69847	14675	1	36	155.0951	156.1024	2	11305	1288.6939	1289.7012
156.102426	646.348316	-165007.12	-210669.9	-78.235941	10452	1	37	155.0951	156.1024	2	11299	1288.6939	1289.7012
156.102426	646.372715	-189753.39	-214222.14	-54.037381	9346	1	38	155.0951	156.1024	1	11477	645.3654	646.3727
