m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking
401.2045	540.3033	8759142.4	7782100.9	312.75376	69
540.3033	401.2045	8759142.4	7782100.9	312.75376	69
175.1196	603.7931	4487175.8	4212767.6	308.05681	70
603.7931	175.1196	4487175.8	4212767.6	308.05681	70
401.2886	554.2588	2620848.9	2567389.0	307.42387	71
554.2588	401.2886	2620848.9	2567389.0	307.42387	71
629.4008	489.7371	2294164.0	2240790.0	305.78531	72
489.7371	629.4008	2294164.0	2240790.0	305.78531	72
659.3534	183.1134	4087598.8	3968287.0	304.04186	73
183.1134	659.3534	4087598.8	3968287.0	304.04186	73
814.482	694.319	3093021.7	2972980.5	302.42569	74
694.319	814.482	3093021.7	2972980.5	302.42569	74
814.482	565.2752	3050673.3	2940461.9	298.56501	75
565.2752	814.482	3050673.3	2940461.9	298.56501	75
504.7846	500.2372	6333086.4	5972776.7	296.50445	76
500.2372	504.7846	6333086.4	5972776.7	296.50445	76
757.4601	425.7076	2321617.4	2317749.6	290.09302	77
425.7076	757.4601	2321617.4	2317749.6	290.09302	77
753.8961	510.2578	16561275.0	13690070.0	285.70852	78
510.2578	753.8961	16561275.0	13690070.0	285.70852	78
1079.6018	195.0884	1320934.1	1287264.2	283.96213	79
195.0884	1079.6018	1320934.1	1287264.2	283.96213	79
195.0884	814.482	2377738.3	2284690.0	282.84764	80
814.482	195.0884	2377738.3	2284690.0	282.84764	80
629.4008	475.7395	2919394.5	2787056.3	279.19138	81
475.7395	629.4008	2919394.5	2787056.3	279.19138	81
229.119	645.3542	26290248.0	16043229.0	274.6868	82
645.3542	229.119	26290248.0	16043229.0	274.6868	82
680.8728	500.2734	9345220.3	8386962.2	273.87318	83
500.2734	680.8728	9345220.3	8386962.2	273.87318	83
530.621	500.2372	4128473.6	3877697.7	272.66097	84
500.2372	530.621	4128473.6	3877697.7	272.66097	84
629.4008	475.7395	1388611.8	1361701.0	269.28151	85
475.7395	629.4008	1388611.8	1361701.0	269.28151	85
494.2378	814.482	2322472.4	2312447.4	265.70712	86
814.482	494.2378	2322472.4	2312447.4	265.70712	86
653.8751	300.1564	15693812.0	11968919.0	265.64883	87
300.1564	653.8751	15693812.0	11968919.0	265.64883	87
540.3033	510.2578	12197232.0	10126203.0	265.45934	88
510.2578	540.3033	12197232.0	10126203.0	265.45934	88
753.8961	565.2752	50223476.0	33120932.0	264.57746	89
565.2752	753.8961	50223476.0	33120932.0	264.57746	89
500.2372	1008.5639	2615579.5	2454846.6	263.66543	90
1008.5639	500.2372	2615579.5	2454846.6	263.66543	90
951.5419	879.3997	2288456.9	2226042.2	261.94819	91
879.3997	951.5419	2288456.9	2226042.2	261.94819	91
266.1257	814.482	2138899.3	2056413.7	260.83181	92
814.482	266.1257	2138899.3	2056413.7	260.83181	92
530.621	528.2686	4868309.2	4770647.6	260.53526	93
528.2686	530.621	4868309.2	4770647.6	260.53526	93
201.1241	688.8703	4277806500.0	367695300.0	259.73419	94
688.8703	201.1241	4277806500.0	367695300.0	259.73419	94
401.2886	272.1614	2225631.7	2095452.4	258.73084	95
272.1614	401.2886	2225631.7	2095452.4	258.73084	95
535.9558	951.5419	14435812.0	14009133.0	257.58585	96
951.5419	535.9558	14435812.0	14009133.0	257.58585	96
530.621	156.1024	2235068.8	2212339.8	256.74706	97
156.1024	530.621	2235068.8	2212339.8	256.74706	97
535.9558	688.8703	155758400.0	127921980.0	256.6089	98
688.8703	535.9558	155758400.0	127921980.0	256.6089	98
587.8402	1107.5126	2543669.9	2510414.4	254.29979	99
1107.5126	587.8402	2543669.9	2510414.4	254.29979	99
300.1564	1008.5639	11133347.0	8090090.7	252.4677	100
1008.5639	300.1564	11133347.0	8090090.7	252.4677	100
504.7846	535.9558	19190205.0	18796053.0	251.90314	101
535.9558	504.7846	19190205.0	18796053.0	251.90314	101
503.2684	401.2886	5296016.8	5197772.8	251.22564	102
401.2886	503.2684	5296016.8	5197772.8	251.22564	102
667.8612	530.621	8167867.0	7780005.1	250.79354	103
530.621	667.8612	8167867.0	7780005.1	250.79354	103
1079.6018	415.1839	8157021.2	6558210.8	247.62367	104
415.1839	1079.6018	8157021.2	6558210.8	247.62367	104
753.8961	667.8612	50805209.0	37277926.0	247.26951	105
667.8612	753.8961	50805209.0	37277926.0	247.26951	105
540.3033	482.2628	6743584.2	5930761.3	246.71642	106
482.2628	540.3033	6743584.2	5930761.3	246.71642	106
540.3033	401.2045	11579866.0	9185715.4	246.18215	107
401.2045	540.3033	11579866.0	9185715.4	246.18215	107
680.8728	229.119	25410988.0	15023250.0	246.05003	108
229.119	680.8728	25410988.0	15023250.0	246.05003	108
1079.6018	316.115	1865063.7	1790027.3	245.07952	109
316.115	1079.6018	1865063.7	1790027.3	245.07952	109
383.1944	528.2686	2715634.5	2620795.7	243.15732	110
528.2686	383.1944	2715634.5	2620795.7	243.15732	110
1091.5547	646.3727	1727259.5	1714773.0	241.89533	111
646.3727	1091.5547	1727259.5	1714773.0	241.89533	111
610.3455	230.1225	9262823.0	7737286.6	241.87892	112
230.1225	610.3455	9262823.0	7737286.6	241.87892	112
428.2156	675.3659	2041872.3	2001235.6	241.71446	113
675.3659	428.2156	2041872.3	2001235.6	241.71446	113
530.621	202.1275	9230350.8	7800214.8	241.35567	114
202.1275	530.621	9230350.8	7800214.8	241.35567	114
428.2156	1079.6018	2445584.4	2336638.3	239.91477	115
1079.6018	428.2156	2445584.4	2336638.3	239.91477	115
1008.5639	757.4601	5262373.7	4863298.4	239.40723	116
757.4601	1008.5639	5262373.7	4863298.4	239.40723	116
183.1134	460.254	3410016.0	3319719.2	238.38232	117
460.254	183.1134	3410016.0	3319719.2	238.38232	117
476.2737	201.1241	46224737.0	23883178.0	238.22193	118
201.1241	476.2737	46224737.0	23883178.0	238.22193	118
653.8751	300.1564	23093398.0	14838616.0	238.1415	119
300.1564	653.8751	23093398.0	14838616.0	238.1415	119
746.3077	371.1938	2169543.2	2109686.1	237.96692	120
371.1938	746.3077	2169543.2	2109686.1	237.96692	120
1091.5547	229.119	15701158.0	11690061.0	237.50429	121
229.119	1091.5547	15701158.0	11690061.0	237.50429	121
183.1134	272.1614	1763351.0	1630849.0	237.31073	122
272.1614	183.1134	1763351.0	1630849.0	237.31073	122
660.3871	680.8728	4114211.3	3957492.6	236.97793	123
680.8728	660.3871	4114211.3	3957492.6	236.97793	123
879.3997	599.3058	2306642.2	2234963.8	236.47792	124
599.3058	879.3997	2306642.2	2234963.8	236.47792	124
645.3542	298.1043	2231912.5	2171556.9	236.31302	125
298.1043	645.3542	2231912.5	2171556.9	236.31302	125
298.1043	202.1275	3132128.4	2793355.9	235.36552	126
202.1275	298.1043	3132128.4	2793355.9	235.36552	126
599.3058	195.0884	1247006.4	1205739.3	233.53968	127
195.0884	599.3058	1247006.4	1205739.3	233.53968	127
489.7371	1008.5639	3351142.8	3154544.6	232.31017	128
1008.5639	489.7371	3351142.8	3154544.6	232.31017	128
528.2686	288.204	7462262.7	7321475.2	232.13133	129
288.204	528.2686	7462262.7	7321475.2	232.13133	129
759.392	757.4601	1558185.3	1534084.8	231.94567	130
757.4601	759.392	1558185.3	1534084.8	231.94567	130
428.2156	530.621	5134205.8	4674495.1	231.72728	131
530.621	428.2156	5134205.8	4674495.1	231.72728	131
661.3574	401.2886	2587007.4	2508430.4	231.64036	132
