m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id
371.19397999999995	1008.56398	18755287.0	18322403.0	908.68617	7	2637.109131	9142.976563	0
1008.56398	371.19397999999995	18755287.0	18322403.0	908.68617	7	9142.976563	2637.109131	0
401.28898	978.46898	13326942.0	13038379.0	754.01907	13	7515.183105	2100.085938	0
978.46898	401.28898	13326942.0	13038379.0	754.01907	13	2100.085938	7515.183105	0
1204.63898	175.11998	25244833.0	25084756.0	1273.9226	1	2382.019531	8633.249023	0
175.11998	1204.63898	25244833.0	25084756.0	1273.9226	1	8633.249023	2382.019531	0
288.20398	1091.5549800000001	5934173.9	5893840.8	723.18234	14	3243.247559	1144.434814	0
1091.5549800000001	288.20398	5934173.9	5893840.8	723.18234	14	1144.434814	3243.247559	0
622.2969800000001	757.4599800000001	3024331.3	3002347.8	483.55703	37	1524.513184	906.667358	1
757.4599800000001	622.2969800000001	3024331.3	3002347.8	483.55703	37	906.667358	1524.513184	1
565.27498	814.48198	15602402.0	15085168.0	682.66195	17	7124.077148	5392.56543	1
814.48198	565.27498	15602402.0	15085168.0	682.66195	17	5392.56543	7124.077148	1
951.5419800000001	428.21598	2340900.7	2310743.3	412.89219	47	1306.884277	1113.214722	1
428.21598	951.5419800000001	2340900.7	2310743.3	412.89219	47	1113.214722	1306.884277	1
565.27498	814.48198	11720030.0	11161551.0	533.40997	31	1313.338379	21098.802734	1
814.48198	565.27498	11720030.0	11161551.0	533.40997	31	21098.802734	1313.338379	1
629.40098	750.35698	2905221.3	2867910.8	433.46281	40	1328.932983	1653.093994	1
750.35698	629.40098	2905221.3	2867910.8	433.46281	40	1653.093994	1328.932983	1
879.39998	500.35697999999996	2691619.0	2623094.1	365.89651	54	2645.866943	1174.901367	1
500.35697999999996	879.39998	2691619.0	2623094.1	365.89651	54	1174.901367	2645.866943	1
371.19397999999995	1008.56398	5265128.6	5062264.0	483.27842	38	2637.109131	3074.820557	1
1008.56398	371.19397999999995	5265128.6	5062264.0	483.27842	38	3074.820557	2637.109131	1
401.28898	978.46898	1782232.1	1755304.4	331.41654	64	877.062744	2100.085938	1
978.46898	401.28898	1782232.1	1755304.4	331.41654	64	2100.085938	877.062744	1
175.11998	1204.63898	11635793.0	11443445.0	892.64305	8	8633.249023	1037.281006	1
1204.63898	175.11998	11635793.0	11443445.0	892.64305	8	1037.281006	8633.249023	1
536.9599800000001	536.96013	8639279.3	8142025.0	181.1445	302	1231.341064	18498.279297	2
528.26898	540.30313	16135360.0	14313333.0	349.48618	58	1108.264771	81014.875	2
500.35697999999996	554.25863	5832654.0	5750326.6	381.96776	52	7123.803223	1102.149048	2
599.3059800000001	504.78463	13017136.0	12710676.0	504.8385	35	2404.958496	10414.665039	2
757.4599800000001	425.70763	2321617.4	2317749.6	290.09302	77	906.667358	750.10376	2
415.18397999999996	596.84563	63399831.0	55198319.0	607.5346	22	16149.670898	25816.384766	2
528.26898	540.30313	35356769.0	31223297.0	526.94676	32	5624.222656	29821.267578	2
230.12298	689.8776300000001	349357700.0	53391892.0	128.97352	911	17446.246094	747632.125	2
629.40098	489.73713	2294164.0	2240790.0	305.78531	72	1328.932983	1868.962158	2
300.15598	654.35913	194805700.0	152553350.0	913.39267	6	33528.605469	48794.230469	2
814.48198	397.19662999999997	6746229.0	6471866.2	332.31445	63	5392.56543	2682.680664	2
415.18397999999996	596.84563	21470963.0	18389750.0	395.01794	49	1903.160034	61967.726563	2
300.15598	654.35913	23093398.0	14838616.0	238.1415	119	2384.458984	108949.34375	2
1008.56398	300.15663	11133347.0	8090090.7	252.4677	100	3074.820557	33528.605469	2
645.3539800000001	482.26263	710655.96	660239.24	126.28223	971	1911.971924	798.843811	2
689.3739800000001	460.25413	3258616.7	3219443.9	156.30633	521	3346.073486	1506.11792	2
879.39998	629.40098	2341154.4	2102660.2	155.66575	528	2645.866943	6271.913086	4
629.40098	879.39998	2341154.4	2102660.2	155.66575	528	6271.913086	2645.866943	4
