Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,bi(3-7)-(CH2S)-(HCOOH)(1+),534.77,558.72,y5-(HN=C=NH)(1+),46322.04480682653,259.8160204363625,0.691
61,b4-(H2O)(1+),427.12,715.46,y6(1+),4898.811812025284,256.6240997719915,0.13
62,a5-(CH2S)(2+),234.86,557.77,y5-(HN=C=NH)(1+),26314.636687922724,254.3769278611496,0.623
,bi(4-7)-(CH2S)(2+),234.86,557.77,y5-(HN=C=NH)(1+),26314.636687922724,254.3769278611496,0.626
,bi(4-7)-(HCOOH)(2+),234.86,557.77,y5-(HN=C=NH)(1+),26314.636687922724,254.3769278611496,0.63
,ai(4-7)-(H2O)(2+),234.86,557.77,y5-(HN=C=NH)(1+),26314.636687922724,254.3769278611496,0.633
,ai(4-7)-(NH3)(2+),234.86,557.77,y5-(HN=C=NH)(1+),26314.636687922724,254.3769278611496,0.649
63,,614.74,922.67,,5859.135032324775,253.50351615056627,
64,a4-(NH3)(2+),200.64,364.91,bi(5-7)-(H2O)(1+),5674.920483048146,251.91713568237623,0.311
,b4-(CH2S)(2+),200.64,364.91,bi(5-7)-(H2O)(1+),5674.920483048146,251.91713568237623,0.597
,a4-(H2O)(2+),200.64,364.91,bi(5-7)-(H2O)(1+),5674.920483048146,251.91713568237623,0.605
65,y4(1+),487.3,592.07,bi(4-8)-2(H2O)(1+),10385.81574954664,251.4792130213302,0.74
66,,332.05,456.37,,4256.277822420046,250.87476341968087,
67,a4-2(H2O)(1+),382.01,491.82,y8(2+),14047.455919960303,249.23066391786216,0.78
68,ai(3-4)(1+),216.82,456.23,y8-(HN=C=NH)-(HCOH)(2+),5534.274178090399,248.09024917533924,0.538
69,bi(3-4)-(CH3CH2SCH3)(1+),168.64,492.07,y8(2+),14332.243247880753,247.49256983523566,0.528
,ai(3-4)-(CH3SH)(1+),168.64,492.07,y8(2+),14332.243247880753,247.49256983523566,0.555
70,b7-2(H2O)(2+),396.28,600.35,y5(1+),4569.1932241304,246.6063482226272,0.058
71,y2-2(NH3)(1+),212.57,410.04,bi(7-10)-(HCOH)-(HCOH)(1+),3567.8051414172664,246.23559417959325,0.511
,bi(4-5)-(NH3)(1+),212.57,410.04,y7-2(H2O)-(HCOH)(2+),3567.8051414172664,246.23559417959325,0.546
72,,337.36,491.98,,7609.250580662309,245.25865552583733,
73,,664.5,1053.19,,3673.929792766177,240.50711229454893,
74,a3(1+),285.6,557.29,y9(2+),6522.566519592822,240.23495629942022,0.611
75,,403.45,432.3,,7131.192257692279,239.63851387552128,
76,b4-(CH3CH2SCH3)(1+),368.8,418.92,y7-(H2O)-(HCOH)(2+),9237.818387333524,238.23893339731933,0.539
,a4-(H2O)-(HCOH)(1+),368.8,418.92,y7-(H2O)-(HCOH)(2+),9237.818387333524,238.23893339731933,0.554
,a4-(CH3SH)(1+),368.8,418.92,y7-(H2O)-(HCOH)(2+),9237.818387333524,238.23893339731933,0.57
,b4-(CH2S)-(HCOH)(1+),368.8,418.92,y7-(H2O)-(HCOH)(2+),9237.818387333524,238.23893339731933,0.57
,ai(2-5)-(CH2S)(1+),368.8,418.92,y7-(H2O)-(HCOH)(2+),9237.818387333524,238.23893339731933,0.57
,ai(2-5)-(NH3)-(HCOH)(1+),368.8,418.92,y7-(H2O)-(HCOH)(2+),9237.818387333524,238.23893339731933,0.695
77,ai(5-8)-(H2O)-(HCOOH)(1+),404.73,470.05,y4-(NH3)(1+),17785.695915164277,237.9130455595328,0.483
,ai(5-8)-2(NH3)-(HCOH)(1+),404.73,470.05,y4-(NH3)(1+),17785.695915164277,237.9130455595328,0.528
,b7-(H2O)(2+),404.73,470.05,y4-(NH3)(1+),17785.695915164277,237.9130455595328,0.546
,bi(2-8)-2(NH3)(2+),404.73,470.05,y4-(NH3)(1+),17785.695915164277,237.9130455595328,0.555
,ai(5-8)-(NH3)-(HCOOH)(1+),404.73,470.05,y4-(NH3)(1+),17785.695915164277,237.9130455595328,0.592
78,,557.66,623.89,,9717.851166518938,236.67536946765432,
79,,251.03,534.98,,9469.768184172864,236.12718505586218,
80,,491.47,725.97,,11241.819853604244,235.68872889738068,
81,b3-(NH3)-(HCOH)(1+),267.61,715.6,y6(1+),1824.082820557641,233.02958133964086,0.479
